Grasp123
Date:,2025/04/23
Time:,14:06:25
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
42,914.752197,714.158264,148.068542,,,,781.217224,726.683899,162.462357,1145.838013,866.507507,398.177826,855.227966,627.406921,141.234268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,913.539917,714.481323,146.143784,,,,779.860657,726.653931,158.929474,1145.606567,866.516968,397.801971,854.613464,627.477661,139.379501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,912.104248,714.969421,145.234940,,,,778.738831,726.131775,155.641403,1145.317627,866.555969,397.486847,853.881042,627.564331,136.973557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,910.619995,715.439636,144.462814,,,,777.281250,725.732849,152.634750,1145.010620,866.607178,397.179108,853.250488,627.593933,135.086731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,910.364319,715.621765,142.932571,,,,776.504883,725.239319,150.175018,1144.827393,866.589417,396.999451,852.341492,627.849060,133.579910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,909.712280,715.834839,141.649689,,,,775.245361,725.083008,147.681046,1144.624390,866.511658,396.788666,852.295837,627.494202,131.568924,2325.275879,-491.601410,-151.819336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,908.780518,715.959167,140.645508,,,,774.596680,724.608154,145.813324,1144.417969,866.492676,396.560638,852.124634,627.430847,130.062332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,907.877625,716.090393,139.913467,,,,773.548279,724.221436,143.906296,1144.181885,866.531555,396.310608,851.702942,627.244446,128.697937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,906.913635,716.197144,139.011902,,,,772.391052,723.746399,142.499786,1143.927368,866.513245,396.052032,851.221191,626.870056,127.444870,,,,2326.833496,-496.604309,-147.820496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,906.096375,716.343506,138.173080,,,,771.852173,723.142517,140.872025,1143.574829,866.490845,395.846313,850.650574,626.803650,126.092438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
