Grasp120
Date:,2025/04/28
Time:,14:02:23
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
46,920.869934,815.490601,117.476074,1185.278809,827.812256,435.320618,1138.224365,898.911072,241.449478,787.626343,804.115540,84.755112,851.134644,753.603271,64.181770,,,,,,
47,919.913208,813.969849,119.224472,1185.176392,827.762146,435.191467,1137.877075,898.585510,241.151291,786.664734,801.474243,87.001045,851.001465,751.301392,65.704247,,,,,,
48,919.167053,812.352112,120.876755,1185.054321,827.794312,435.022308,1137.600830,898.207397,240.912918,786.014282,798.462280,89.113472,851.196228,748.514771,67.574547,,,,,,
49,918.421326,810.541626,122.604881,1184.820557,827.712280,434.821564,1137.381470,897.838318,240.835526,785.737610,795.455750,91.025436,851.006409,745.816284,69.443871,,,,,,
50,917.505859,809.023438,124.313957,1184.664917,827.703613,434.681335,1137.031860,897.333252,240.613190,784.968140,792.334778,93.121719,851.109192,743.041809,71.369560,,,,,,
51,916.845886,807.188599,125.790535,1184.512207,827.662170,434.550720,1136.620728,896.918518,240.336197,784.250916,789.152527,95.519897,851.286072,740.053833,73.203255,,,,,,
52,916.154968,805.535828,127.063736,1184.319336,827.544373,434.495117,1136.089844,896.583923,239.919128,783.465332,786.051147,97.382713,851.063782,736.855652,74.932747,,,,,,
53,915.073853,803.514099,128.148285,1184.056641,827.470154,434.331146,1135.461182,896.174194,239.586319,783.125305,782.858765,99.457802,851.391174,733.904968,76.721664,,,,,,
54,914.515747,801.773987,129.273621,1183.797729,827.395752,434.256439,1134.546875,895.663208,239.305145,782.057922,779.380249,101.615639,851.695801,731.028809,78.127754,,,,,,
55,913.992065,799.807251,130.206894,1183.568726,827.236389,434.093445,1133.658813,895.105286,239.285629,781.348877,776.300781,103.231453,851.790527,728.012878,79.549294,,,,,,
56,913.030029,797.889648,131.246216,1183.256714,827.097229,433.906738,1132.818726,894.629578,239.334381,780.603516,773.049194,105.542892,851.920654,724.799011,81.120132,,,,,,
57,912.342957,795.840576,132.354080,1182.952393,826.977173,433.776978,1131.902832,894.110352,239.298416,779.902954,770.090149,107.433250,852.158997,721.911255,82.468178,,,,,,
58,911.593384,793.887024,133.397171,1182.704956,826.835205,433.662323,1130.538574,893.609131,238.564957,779.331604,767.134033,109.451721,852.438416,718.978821,83.563362,,,,,,
59,910.360962,791.731750,134.173798,1182.331543,826.702087,433.433655,1129.492310,893.073425,238.181274,778.402100,763.954956,111.330803,852.599487,715.678223,85.165306,,,,,,
60,909.863281,789.853027,135.007736,1181.828003,826.655090,433.107452,1128.795288,892.440186,237.787323,777.825317,761.121643,112.601616,852.758362,712.317810,86.621735,,,,,,
61,909.131531,787.747864,135.680389,1181.411255,826.514709,432.814209,1127.980103,891.773499,237.468155,776.946716,758.200317,113.967209,853.336365,709.260742,87.838196,,,,,,
62,908.297791,785.795349,136.413239,1180.994385,826.462036,432.440704,1126.717773,891.283875,237.496933,776.189026,755.445374,114.804871,853.798096,706.455322,88.905075,,,,,,
63,907.399353,783.876221,137.141800,1180.653931,826.340942,432.211182,1125.147583,890.774231,236.954559,775.301880,752.657043,115.828094,853.925293,703.279297,90.256332,,,,,,
64,906.508545,781.900635,137.960236,1180.445679,826.089478,432.093231,1124.083496,890.254761,236.803055,774.210449,749.934326,117.363228,854.209045,700.037170,91.753075,,,,,,
65,905.567444,779.877380,138.256607,1180.040649,825.989319,431.740753,1123.093262,889.521606,236.571182,773.500000,747.661743,118.573250,854.736450,697.069275,92.976265,,,,,,
66,904.917297,778.166077,138.751236,1179.596436,825.766785,431.513702,1122.030884,888.604370,236.245697,772.564392,744.921143,119.749283,855.195862,694.410828,94.033524,,,,,,
67,903.643127,776.066772,139.432022,1179.115234,825.608643,431.205627,1120.949585,887.861755,235.738251,771.991760,742.508423,120.180687,855.655945,691.205994,95.882454,,,,,,
68,902.867798,774.213928,139.619293,1178.380859,825.442444,430.865601,1119.730835,887.494080,235.436188,771.113586,740.160339,120.767082,856.403320,688.439819,97.039131,,,,,,
69,902.435242,772.268188,139.949585,1177.638062,825.330994,430.609497,1118.065186,886.923767,235.443451,770.282715,737.730652,121.669067,856.774963,686.190063,98.035065,,,,,,
70,901.220886,770.580322,140.148178,1177.042114,825.284424,430.245850,1117.096802,886.228210,235.291595,769.580200,735.578613,122.359726,857.113281,684.188660,98.553734,,,,,,
71,900.312195,768.627686,140.004715,1176.539185,825.073669,429.893890,1116.013428,885.272339,234.773682,768.671692,733.272583,122.896500,857.789673,681.492310,99.043411,,,,,,
72,899.750183,766.989441,140.144226,1176.123413,824.834961,429.616119,1114.784424,884.516235,234.108307,768.015808,731.307739,123.098213,857.804749,678.726135,100.184380,,,,,,
73,898.708862,765.217041,140.486618,1175.464722,824.738770,429.425873,1113.817749,884.018433,233.918228,767.199585,729.218384,123.945869,858.167725,675.958191,101.375870,,,,,,
74,897.888489,763.553284,140.695541,1175.134033,824.532654,429.362091,1112.748779,883.502136,233.818924,766.128540,726.972107,124.674469,857.812683,672.815002,101.233093,,,,,,
75,897.547180,762.107361,140.619690,1174.476807,824.338562,429.071472,1111.117676,882.728760,233.217728,765.271118,725.268860,124.878448,857.982361,670.357422,101.463066,,,,,,
76,896.856384,760.461243,140.539322,1173.811157,824.249451,428.771606,1109.562256,881.784058,232.708374,764.821838,723.466309,124.991669,858.355957,668.581970,102.153656,,,,,,
77,895.589661,758.806946,140.318405,1173.525635,824.030151,428.530365,1108.829224,881.124573,232.438950,763.955811,721.691650,125.135658,858.610046,666.815674,103.136780,,,,,,
