Grasp17
Date:,2025/04/15
Time:,13:41:56
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
36,807.426331,474.336853,30.976906,913.388794,566.794250,64.450584,896.012573,798.368652,260.049438,894.509338,472.956238,31.999722,907.333008,821.949524,439.809998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,807.495056,474.321075,30.948311,913.387268,566.736023,64.455666,896.194153,798.361816,259.928223,894.484192,472.910583,32.031731,907.356384,821.963623,439.832367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,807.508423,474.321869,31.006344,913.421143,566.721069,64.533325,896.157410,798.409485,259.912506,894.524048,472.977722,32.041615,907.451172,822.027100,439.873871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,807.519287,474.308868,31.014668,913.389099,566.794861,64.551872,896.135559,798.466125,259.978699,894.568176,472.942902,32.014400,907.454163,822.047974,439.890961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,807.580078,474.407684,30.998634,913.377869,566.817749,64.545670,896.108093,798.481506,260.010406,894.492981,472.936249,32.010868,907.498596,822.116272,439.943390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,807.587646,474.337067,30.965054,913.430298,566.798950,64.616379,896.119141,798.470825,260.005157,894.540833,472.967255,31.991898,907.525513,822.120117,439.979431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,807.608826,474.413879,30.970797,913.409241,566.888611,64.538055,896.160522,798.469238,260.049347,894.544067,473.072906,31.953806,907.573608,822.185425,440.079987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,807.690125,474.424500,31.033955,913.394165,566.952454,64.551315,896.013428,798.521912,260.204651,894.545410,473.137878,32.043091,907.524170,822.212158,440.151154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,807.823792,474.375122,31.004831,913.435181,566.959045,64.577339,895.634644,798.575134,260.438202,894.568359,473.180817,32.094456,907.451233,822.167175,440.361206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,807.973145,474.385010,31.029181,913.380920,567.117798,64.738770,895.400696,798.700684,260.667694,894.570496,473.237488,32.088646,907.445740,822.280823,440.742767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,808.048218,474.463196,31.032772,913.431641,567.112610,64.622566,895.833923,798.485596,260.432373,894.627502,473.332520,32.010166,907.461853,822.299316,440.891174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,808.142700,474.485748,31.044954,913.480103,567.223877,64.558571,895.492981,798.616638,260.766022,894.678833,473.371063,31.945467,907.551147,822.357117,441.044250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,808.204834,474.463135,30.994833,913.474060,567.308350,64.555191,895.226929,798.654663,261.067841,894.710571,473.527679,32.001308,907.713867,822.348694,441.356049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,808.349670,474.435699,31.016115,913.463379,567.344177,64.572723,895.699463,798.301819,260.995361,895.063477,473.930908,32.083157,907.771240,822.439514,441.495697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,808.495850,474.511932,31.027870,913.340027,567.402100,64.809868,895.903320,798.210144,260.950623,894.979492,473.835693,31.968285,907.120728,822.419556,441.895874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,808.644958,474.476318,31.159384,913.330078,567.489624,64.857803,895.821716,798.215942,261.049835,895.023193,473.823547,31.955027,907.585999,822.535828,441.994141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,808.762268,474.495850,31.044344,913.447571,567.623169,64.741295,895.518250,798.380310,261.255463,895.452148,474.168640,31.999443,907.945129,822.595459,442.046173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,809.008484,474.410339,31.215054,913.512268,567.798096,64.569046,895.199158,798.482971,261.548706,895.569824,474.331696,31.994167,908.035767,822.669556,442.265869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,809.273987,474.332367,31.257113,913.672241,568.003052,64.848732,895.320557,798.460632,262.016876,895.707825,474.440521,31.919115,908.126770,822.789368,442.467224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,809.636658,474.347351,31.260998,913.815491,568.217529,64.984055,895.322998,798.537903,262.331665,896.210632,474.838684,31.863573,908.222961,822.828064,442.756744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,809.721436,474.230225,31.338808,914.013855,568.441223,64.985901,895.304199,798.682373,262.835999,896.559143,475.147186,31.835846,908.445862,822.904907,442.990051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,810.511169,474.242065,31.534636,914.216675,568.678772,65.000923,895.006592,798.755737,262.868286,896.971680,475.411346,31.838493,908.662109,823.013550,443.134369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,811.149231,474.211151,31.560673,914.383301,568.997253,64.928864,894.685059,798.927856,262.998718,897.404907,475.767731,31.795570,908.892395,823.144165,443.234558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,811.590698,474.334198,31.371542,914.641541,569.464111,65.124977,894.392151,799.091370,263.294678,898.069641,476.172913,31.696066,909.134216,823.328979,443.415588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,812.313965,474.338470,31.350418,914.803589,569.915039,65.624977,893.868713,799.409119,263.667542,898.264893,476.213806,31.833130,909.410461,823.452759,443.479523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,813.290894,474.075104,31.555988,914.997253,570.387451,66.107956,893.818115,799.832642,263.960419,898.580078,476.277435,32.170486,909.744385,823.705017,443.581940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
