Grasp127
Date:,2025/05/06
Time:,14:07:23
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
35,917.902466,527.890015,111.503136,803.292480,463.804230,67.221672,885.784973,437.719482,72.050140,,,,1097.193604,760.391174,412.015961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,918.188660,528.775513,114.403343,803.492554,464.248138,71.411835,886.059204,438.319244,75.579323,,,,1097.776978,761.219910,412.245972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,918.621704,529.326111,118.479118,803.675110,464.344116,76.005569,886.289551,438.934784,78.639870,,,,1097.819092,762.077271,413.225311,,,,1045.451782,753.873108,227.768204,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,919.016479,530.123535,121.331764,804.110779,464.448059,80.317657,886.534180,439.701385,81.721535,,,,1099.054443,762.953308,413.616547,,,,1046.266235,755.305237,228.315170,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,919.604187,530.894531,124.012947,804.793640,464.642334,84.274048,887.106079,440.536285,84.747406,,,,1100.481079,763.954773,414.232422,,,,1047.511353,757.442139,228.734955,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,920.180176,532.257874,127.612961,805.489136,464.784393,88.855064,887.336060,441.442902,87.519241,,,,1101.265991,764.767700,414.669525,,,,1048.380005,759.063232,229.577789,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,920.463562,533.239075,131.326004,806.090820,464.834045,93.395714,887.902283,442.439362,90.204857,,,,1102.026611,765.378235,415.354279,,,,1048.712402,760.981323,230.452652,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,920.609558,534.095703,134.721115,806.706116,465.084198,97.995865,888.158508,443.699890,93.079575,,,,1103.461304,766.409729,415.886658,,,,1049.511841,762.758301,230.611588,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,921.194580,535.257751,137.863235,807.213684,465.487915,102.787827,888.267395,445.030945,95.883949,,,,1104.573975,767.458313,416.268127,,,,1050.626221,764.727539,231.625610,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,921.455261,536.661438,141.363022,807.491577,465.989502,107.470779,888.359741,446.348663,98.715240,,,,1105.326172,768.218628,416.520264,,,,1051.427490,766.240234,232.624512,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,921.591125,538.237915,144.759964,807.922546,466.510193,112.117294,888.337219,447.749573,101.730278,,,,,,,,,,1052.221313,768.346985,233.204681,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,922.056091,539.989441,147.663544,808.354004,467.238037,116.670532,887.803772,449.078552,104.655930,,,,,,,,,,,,,1108.069824,769.780701,417.894226,,,,,,,,,,,,,,,,,,,,,,,,
47,922.196472,541.460876,150.778763,808.715942,468.519928,121.195587,887.781677,450.643372,107.512009,,,,,,,,,,,,,1108.594849,770.934875,418.491608,,,,,,,,,,,,,,,,,,,,,,,,
48,922.358398,542.909790,153.967545,808.716614,469.870575,125.660431,887.337280,452.297394,110.224686,,,,,,,,,,,,,1109.397949,771.764465,418.892151,1055.978516,773.532471,234.343292,,,,,,,,,,,,,,,,,,,,,
49,922.193604,544.423950,157.252441,808.448242,471.185120,129.829102,886.487488,454.521179,113.356537,,,,,,,,,,,,,1110.973755,772.334167,419.664673,1056.194824,775.711731,235.311111,,,,,,,,,,,,,,,,,,,,,
50,922.126892,545.731262,160.946747,808.357849,473.119446,133.723846,885.724426,456.457520,116.786880,,,,,,,,,,,,,1112.519409,773.810181,420.072601,,,,,,,,,,,,,,,,,,,,,,,,
51,922.050842,547.683960,163.777313,808.131897,474.876953,137.630814,884.837708,458.497009,119.518196,,,,,,,,,,,,,1113.460327,775.093140,420.492950,,,,,,,,,,,,,,,,,,,,,,,,
52,921.891907,549.574341,166.367065,807.615051,477.194305,141.640457,883.690796,460.408600,122.015320,,,,,,,,,,,,,1114.772583,775.926636,421.348145,,,,,,,,,,,,,,,,,,,,,,,,
53,921.949341,551.563599,169.677063,806.768494,479.472687,145.778931,882.809143,462.846649,125.324402,,,,,,,,,,,,,1115.823486,775.919189,422.129456,,,,,,,,,,,,,,,,,,,,,,,,
54,921.606384,553.288757,172.332596,805.904785,481.866486,149.312973,881.357117,464.927795,128.448822,,,,,,,,,,,,,1116.670654,776.862854,422.444916,,,,,,,,,,,,,,,,,,,,,,,,
55,921.225403,555.600220,174.848404,805.152222,484.433685,152.837387,879.135376,468.000580,131.212906,,,,,,,,,,,,,1117.818604,777.988953,422.970154,,,,,,,,,,,,,,,,,,,,,,,,
56,921.106812,557.776978,177.091492,804.299255,486.994873,156.206528,878.097595,470.033875,134.228485,,,,,,,,,,,,,1119.145996,778.892883,423.570831,,,,1062.005493,787.763916,240.362106,,,,,,,,,,,,,,,,,,
57,920.328003,559.713501,179.640076,803.241211,490.004395,159.557602,876.468933,472.105408,137.162292,,,,,,,,,,,,,1120.160522,779.395081,424.331360,,,,1063.348511,789.359680,240.520096,,,,,,,,,,,,,,,,,,
58,919.704163,561.752563,182.106171,802.153931,492.837494,162.784561,874.821960,475.213684,139.694656,,,,,,,,,,,,,1120.801270,779.875916,424.802155,,,,1063.973511,791.219055,241.096710,,,,,,,,,,,,,,,,,,
59,919.202332,564.282898,184.124115,801.224731,495.898651,165.638947,872.801392,477.732452,141.713379,,,,,,,,,,,,,1121.895142,780.602173,425.385193,,,,1064.192993,792.637756,241.970627,,,,,,,,,,,,,,,,,,
60,918.749512,566.621460,186.337997,800.034973,498.823059,168.367966,871.368469,480.178070,144.675446,,,,,,,,,,,,,1123.150269,781.382202,426.073547,,,,1065.062012,794.424377,243.037933,,,,,,,,,,,,,,,,,,
61,917.314941,568.513550,188.534363,798.420654,502.190094,171.357498,869.368530,483.269684,147.332443,,,,,,,,,,,,,1124.086670,782.019714,426.572418,,,,1065.995972,795.880798,243.845596,,,,,,,,,,,,,,,,,,
62,916.699097,570.828064,190.615555,796.983093,505.559692,173.991013,867.379517,485.429382,149.041733,,,,,,,,,,,,,1124.688232,782.386902,426.852997,,,,1066.461304,797.382019,244.555756,,,,,,,,,,,,,,,,,,
63,915.746033,573.022888,192.267700,795.645874,508.952759,176.044281,865.614563,488.996216,150.475861,,,,,,,,,,,,,1125.517212,782.862549,427.561127,,,,1066.654297,798.898499,245.536835,,,,,,,,,,,,,,,,,,
64,914.817810,575.575073,193.975037,794.067139,512.327759,177.919540,863.468445,491.956329,152.285934,,,,,,,,,,,,,1126.604858,783.357605,428.485504,,,,1067.384155,800.243103,246.383163,,,,,,,,,,,,,,,,,,
65,914.068970,577.929504,194.972366,792.463379,515.686401,179.810364,861.630798,494.248260,153.884613,,,,,,,,,,,,,1127.298706,783.947998,428.884613,,,,1068.195435,801.864380,247.229248,,,,,,,,,,,,,,,,,,
66,912.875305,580.265808,196.444275,790.581543,518.982666,181.537567,859.460693,497.110413,155.369080,,,,,,,,,,,,,1128.271240,784.549194,428.961029,,,,1068.733521,802.971924,248.014893,,,,,,,,,,,,,,,,,,
67,911.740417,582.739136,197.559372,788.703003,522.267090,182.921722,857.357056,500.524139,156.941071,,,,,,,,,,,,,1129.091431,784.958679,429.328156,,,,1069.072998,804.117859,248.686478,,,,,,,,,,,,,,,,,,
68,910.391846,585.125183,198.791153,786.816589,525.934387,184.002625,855.024841,503.460999,157.077316,,,,,,,,,,,,,1129.868164,785.266418,429.825653,,,,,,,,,,,,,,,,,,,,,,,,
69,909.280457,587.567322,199.465378,785.104553,529.446716,184.506104,853.162781,506.417755,157.639755,,,,,,,,,,,,,1130.888306,785.824341,430.396362,,,,,,,,,,,,,,,,,,,,,,,,
70,907.795349,590.076111,200.410751,783.204895,533.039917,185.360214,851.040771,509.577759,157.748489,,,,,,,,,,,,,1131.559937,786.169678,430.707733,,,,,,,,,,,,,,,,,,,,,,,,
71,906.580994,592.414429,200.706940,781.442932,536.994324,185.130402,848.944031,512.874023,157.917923,,,,,,,,,,,,,1131.971069,786.448303,430.877747,,,,,,,,,,,,,,,,,,,,,,,,
72,905.121094,595.013794,201.344849,779.629028,540.722839,184.996384,847.040710,515.883850,158.191147,,,,,,,,,,,,,1132.380127,786.725037,431.082916,,,,,,,,,,,,,,,,,,,,,,,,
73,903.758545,597.412903,201.850723,777.347656,544.280762,185.583755,845.076477,518.852966,158.133087,,,,,,,,,,,,,1132.831909,787.037598,431.442627,,,,,,,,,,,,,,,,,,,,,,,,
74,902.559448,599.895325,202.074509,775.450073,547.898499,185.412033,843.235718,521.867432,157.481186,,,,,,,,,,,,,1133.259277,787.255127,431.830872,,,,,,,1072.525879,812.329407,252.410324,,,,,,,,,,,,,,,
75,900.965759,602.060852,202.377747,773.700317,551.531250,184.896378,840.723938,524.938232,157.217773,,,,,,,,,,,,,1133.795898,787.447388,432.252380,,,,,,,1072.703735,813.481018,253.197495,,,,,,,,,,,,,,,
76,899.423279,604.047852,203.120316,771.819580,555.063477,184.525574,838.974121,528.248657,157.045166,,,,,,,,,,,,,1134.346680,787.670166,432.749939,,,,,,,1072.772461,814.270386,253.864182,,,,,,,,,,,,,,,
77,897.785583,606.516663,203.442047,769.717529,558.841736,184.229782,837.060486,531.307800,156.640182,,,,,,,,,,,,,1134.666382,787.968018,433.017487,,,,,,,1072.864746,815.036499,254.419083,,,,,,,,,,,,,,,
78,896.644104,609.075012,202.708969,767.763550,562.490967,184.131119,835.051575,534.447144,155.868683,,,,,,,,,,,,,1134.962524,788.307678,433.093079,,,,,,,1073.070435,815.925537,255.052917,,,,,,,,,,,,,,,
79,895.007263,611.392700,202.570541,765.709595,566.072998,183.683197,833.210938,537.874451,155.197540,,,,,,,,,,,,,1135.206299,788.559570,433.122284,,,,,,,1073.946899,817.410583,254.907639,,,,,,,,,,,,,,,
80,893.619385,613.365112,202.336090,763.875305,569.744995,182.715363,830.987366,540.554565,154.269012,,,,,,,,,,,,,1135.329468,788.788025,433.300568,,,,,,,1074.447388,818.417603,254.972473,,,,,,,,,,,,,,,
81,892.119446,615.917664,201.467697,761.866699,573.181580,182.077789,829.033264,543.219482,153.617661,,,,,,,,,,,,,1135.498047,788.996399,433.488464,,,,,,,1074.660522,818.928467,255.229889,,,,,,,,,,,,,,,
82,890.972229,618.269470,201.084610,760.139954,577.089355,181.267548,827.220764,546.249634,152.701721,,,,,,,,,,,,,1135.626587,789.141174,433.651093,,,,,,,1074.823853,819.375916,255.469711,,,,,,,,,,,,,,,
83,889.572449,620.335938,200.541229,758.191101,580.423157,180.647430,825.603027,549.250854,151.718628,,,,,,,,,,,,,1135.730103,789.340576,433.765961,,,,,,,1074.738159,819.556274,255.879883,,,,,,,,,,,,,,,
84,888.219238,622.418518,200.059662,756.462769,584.097534,179.218582,824.070862,551.764893,150.668274,,,,,,,,,,,,,1135.796265,789.449097,433.738983,,,,,,,1075.084595,820.593933,255.945572,,,,,,,,,,,,,,,
85,886.717896,624.197876,199.688400,754.778564,587.355286,178.298737,822.354248,554.540894,149.402405,,,,,,,,,,,,,1135.817017,789.563660,433.875854,,,,,,,1075.440796,821.366211,255.914536,,,,,,,,,,,,,,,
86,885.587280,626.101013,199.220795,753.210999,590.770813,176.729950,820.918884,557.167908,148.332260,,,,,,,,,,,,,1135.764404,789.629211,433.957764,,,,,,,1075.588379,821.844788,256.008179,,,,,,,,,,,,,,,
87,884.236328,627.948975,198.558807,751.829346,593.886108,175.365433,819.204834,559.517944,147.043594,,,,,,,,,,,,,1135.722778,789.772339,434.014038,,,,,,,1075.447998,822.240967,256.326294,,,,,,,,,,,,,,,
