;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
20;894.069031;739.079956;101.571686;1073.874023;892.334229;211.175644;764.331177;706.364319;92.104668;1105.028076;844.850159;421.169708;854.153748;642.858215;87.362587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;893.377991;738.409363;102.509750;1073.631470;892.040466;210.930862;763.575378;704.729370;94.188454;1104.871582;844.728149;421.011932;853.970093;642.454163;88.156029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;892.919067;737.270996;103.586151;1073.129150;891.658508;211.085861;763.111877;703.120789;95.471855;1105.147217;844.699524;420.764954;853.685059;642.288879;88.628647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;892.174805;736.162231;104.903816;1072.848999;891.292236;211.265167;763.123413;701.565186;97.236290;1105.200439;844.648499;420.570923;853.628296;640.497498;90.668503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;891.819580;735.271179;106.053566;1072.757568;891.053406;211.167282;763.022339;700.012756;99.144379;1105.092896;844.556274;420.336700;853.314026;639.373718;91.934784;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;891.483398;734.053955;106.911903;1072.492920;890.809692;210.748093;762.180908;698.412781;100.844009;1104.989380;844.357239;420.191803;852.489624;638.353027;92.303810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;890.923706;732.994019;108.173317;1072.133911;890.305786;210.424744;761.672791;696.544617;102.611534;1105.154785;844.394653;419.972107;851.753174;637.842346;92.971863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;890.525818;731.841064;109.559364;1071.770996;889.635437;210.270218;761.508362;694.916748;103.873680;1104.932373;844.208069;419.766663;851.671753;637.206787;93.460197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;889.829346;730.934509;110.785240;1071.547119;888.730591;209.520401;761.454529;693.246033;105.668816;1104.717773;844.065735;419.589661;851.524841;635.120972;95.162666;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;889.370605;730.083496;111.629974;1071.091553;887.759827;209.241928;760.998779;691.746277;107.208717;1104.534058;843.965332;419.454407;850.354858;633.129028;96.530304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;888.509583;728.875183;112.671181;1070.129883;887.304932;209.474182;760.546570;690.217407;108.365784;1104.497803;843.898621;419.405609;850.422668;631.816040;97.605164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;887.847229;727.681885;113.668167;1069.508179;887.273743;209.869003;759.724792;688.620544;109.745613;1104.438110;843.796692;419.215027;850.373352;631.146606;98.249435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;887.280518;726.916321;114.410614;1069.442139;887.367737;209.800400;759.632690;687.201111;110.281448;1104.320557;843.689514;419.120300;849.675293;630.707947;98.769096;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;886.698425;726.115784;115.000015;1069.274292;886.906372;209.537506;758.909851;686.310303;110.691101;1104.209229;843.793884;418.627533;848.636047;629.819946;99.322945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;886.028992;724.985535;115.700653;1069.013184;886.192871;209.270325;758.628418;685.613953;110.852493;1104.587158;843.301636;418.160492;847.689209;628.619751;99.571518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;885.343445;723.922363;116.277672;1068.699951;884.995056;208.572510;758.023926;685.146362;110.862129;1104.656128;842.997864;417.755554;846.875916;627.717346;99.792747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;884.515930;723.188354;117.154655;1068.287842;883.914063;208.180862;757.400024;684.282959;110.717552;1104.315063;842.809937;417.643188;845.415222;626.837158;99.858696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;883.829041;722.601685;117.802483;1067.648682;883.288025;208.052948;757.167725;683.405579;110.853020;1104.036865;842.509521;417.672668;843.176819;626.593750;100.097969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;883.349365;721.903687;118.238495;1067.123657;882.904724;207.574295;757.016846;682.806396;111.215866;1103.618408;842.249695;417.637299;841.342285;627.507690;98.901932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;882.864807;721.334351;118.694328;1066.529175;883.084961;207.527725;756.360046;682.040588;111.808067;1103.030518;842.012756;417.520386;839.123657;627.362915;99.014389;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;882.080627;720.825256;118.941666;1066.157837;883.060242;207.551605;755.789063;681.306335;112.084412;;;;837.168274;627.787842;98.260300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;881.198181;720.515259;119.526222;1065.951416;882.363281;207.211807;755.346558;680.278320;112.267311;;;;835.704529;627.801025;97.828278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;880.603638;720.111206;119.937515;1066.077759;881.508911;206.750229;755.152161;679.169800;111.999313;;;;833.947632;627.866882;97.298843;1102.324463;841.227966;417.188782;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;879.819397;719.616394;120.086601;1065.761963;880.889648;206.309433;755.417358;678.303772;111.523354;;;;832.784912;628.031067;96.894875;1102.106934;841.170837;417.023468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;879.331604;719.370544;120.437775;1065.914795;880.106873;205.937424;756.050354;677.291016;110.938850;;;;832.289856;628.071289;96.878281;1101.683960;841.059387;416.861450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;878.982788;718.971436;120.801109;1065.369751;879.800903;205.774704;756.603760;676.192444;110.570091;;;;832.259583;627.791565;97.006248;1101.324463;841.012390;416.755219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;878.979248;718.527222;120.819435;1065.232056;879.407532;205.656738;756.970032;675.303650;110.262741;;;;832.196228;627.237244;97.017578;1100.635620;841.021423;416.998505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;878.445129;718.216492;121.036530;1064.951172;879.113159;205.454437;757.122192;674.852783;109.789764;;;;832.136414;626.591187;97.101166;1100.063721;840.915527;416.827759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;878.014099;718.037964;121.228447;1064.581909;879.371399;205.550232;757.132263;674.489502;109.538315;;;;831.978760;626.066040;97.147514;1099.636353;840.815674;416.568298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;877.560242;717.811890;121.601929;1064.216187;879.515259;205.574600;756.994873;674.161743;109.342720;;;;831.768555;625.688416;97.242737;1099.204468;840.781189;416.167816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;877.227356;717.498657;122.028511;1063.941528;879.567017;205.548492;756.850952;673.857849;109.320824;;;;831.579529;625.466553;97.290962;1098.816650;840.720337;415.693237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;876.862549;717.197815;122.383163;1063.797241;879.255310;205.328781;756.696533;673.545959;109.280640;;;;831.297241;625.267395;97.367188;1098.593872;840.612183;415.471680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;876.642212;717.027222;122.737518;1063.736328;878.894470;205.139404;756.516907;673.145630;109.285812;;;;831.108093;625.157349;97.538025;1098.346436;840.565735;415.351532;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;876.550415;716.821228;123.033249;1063.657227;878.855347;205.036331;756.372864;672.884705;109.280495;;;;830.868469;624.889954;97.698013;1098.182983;840.451416;415.204620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;876.432861;716.597961;123.309258;1063.520508;878.788696;204.940994;756.241150;672.595703;109.319839;;;;830.636597;624.482300;97.983063;1098.262207;840.461121;414.732697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;876.394775;716.409180;123.563232;1063.305420;878.765381;204.823090;756.062073;672.381775;109.363457;;;;830.380310;624.017822;98.287743;1098.186157;840.448181;414.459747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;876.320862;716.255310;123.771103;1063.168213;878.620361;204.664764;755.917969;672.242126;109.480186;;;;830.200134;623.586548;98.568459;1097.926392;840.439697;414.371399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;876.149841;716.009033;124.014732;1063.140503;878.522339;204.663376;755.668274;672.132568;109.557411;;;;829.945313;623.188538;98.810982;1097.688477;840.436035;414.305603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;875.896851;715.884766;124.364723;1063.056763;878.537842;204.641632;755.372986;671.975525;109.782089;;;;829.663635;622.816101;99.042953;1097.480591;840.447510;414.200134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
