Weight62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;12:59:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
31;762.427673;674.492676;109.331276;874.130310;701.373962;97.814415;828.432861;619.461060;110.326859;1080.098389;806.444092;211.550323;1094.304199;788.542969;303.647949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;762.756470;674.398132;109.165123;874.175720;701.335083;97.686852;828.414795;619.477966;110.310394;1080.105347;806.475464;211.544006;1094.255981;788.542542;303.636597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;762.601807;674.455444;109.146057;874.116333;701.405701;97.846336;828.436401;619.510803;110.298752;1080.051636;806.505859;211.487061;1094.280396;788.551147;303.625793;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;762.735962;674.484558;109.138016;874.102173;701.437988;97.980110;828.501221;619.533997;110.276001;1079.909058;806.601685;211.600677;1094.228271;788.600464;303.589386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;762.582214;674.511597;109.162712;874.072266;701.431641;97.953697;828.466248;619.546997;110.277641;1080.005493;806.627563;211.521576;1094.237671;788.649963;303.630310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;762.491821;674.592407;109.260315;874.097595;701.416199;97.910538;828.429993;619.572754;110.262436;1079.922974;806.665833;211.608337;1094.161255;788.667297;303.543427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;762.471252;674.609863;109.297615;874.125061;701.426147;97.947403;828.479126;619.636230;110.238930;1079.952759;806.633545;211.577087;1094.178345;788.662354;303.562195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;762.781372;674.491760;109.126671;874.094666;701.425598;97.921959;828.469055;619.640381;110.234581;1079.910645;806.683167;211.621536;1094.193726;788.745117;303.585327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;762.874146;674.468689;109.047821;874.104065;701.415894;97.902489;828.421570;619.616150;110.331535;1079.888062;806.703552;211.607513;1094.128540;788.810547;303.651062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;762.595886;674.580750;109.180321;874.108643;701.423218;97.871185;828.443115;619.544006;110.360008;1079.954102;806.737854;211.576981;1094.063965;788.817566;303.615814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;762.418030;674.609192;109.310402;874.113525;701.446228;97.845444;828.449280;619.481689;110.327461;1079.910889;806.756104;211.484329;1094.053955;788.815674;303.594025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;762.386597;674.616028;109.282799;874.101379;701.430481;97.891151;828.458923;619.483337;110.357513;1079.954834;806.804443;211.412323;1094.132568;788.811829;303.536316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;762.759338;674.500854;109.148529;874.062317;701.423035;97.867012;828.461060;619.498352;110.369377;1079.970825;806.809937;211.406311;1094.184326;788.864929;303.557922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;762.859802;674.481628;109.027107;874.114502;701.424377;97.860535;828.402954;619.565491;110.295319;1079.971191;806.860413;211.419159;1094.121338;788.926025;303.631561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;762.883057;674.480530;109.035728;874.126160;701.415100;97.885620;828.370361;619.615417;110.234932;1079.963379;806.881470;211.427811;1094.045898;788.939819;303.587097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;762.600769;674.570679;109.157196;874.207458;701.344177;97.869736;828.378052;619.678467;110.214134;1079.966675;806.868042;211.423904;1094.044434;788.941589;303.565582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;762.464294;674.608582;109.288910;874.199524;701.295288;97.820328;828.442871;619.659790;110.272469;1079.968140;806.876831;211.423996;1094.132690;789.039978;303.524567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;762.421204;674.616516;109.289757;874.239563;701.298340;97.807243;828.409607;619.636597;110.259293;1079.964600;806.930725;211.432068;1094.151855;789.052979;303.519562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;762.473633;674.603760;109.285904;874.257690;701.312012;97.800232;828.334473;619.585327;110.315598;1079.991333;806.948669;211.307327;1094.083984;789.054199;303.578888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;762.502625;674.603516;109.298813;874.193298;701.289001;97.753502;828.391296;619.543640;110.299561;1079.961304;807.040039;211.243851;1094.059082;789.161987;303.581512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;762.497864;674.600098;109.276543;874.309631;701.285522;97.897652;828.414795;619.548401;110.455803;1080.043213;807.092834;211.370590;1094.091919;789.164917;303.512726;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;762.524353;674.607117;109.224487;874.315552;701.299561;97.815979;828.455872;619.491028;110.414406;1080.030029;807.212158;211.348267;1093.960693;789.227356;303.456818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;762.777100;674.497253;109.123909;874.320251;701.303711;97.763260;828.420959;619.537903;110.352341;1080.014038;807.229065;211.326157;1093.975708;789.290588;303.502625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;762.594055;674.579102;109.205681;874.459839;701.269897;97.889450;828.399170;619.627747;110.303154;1080.008911;807.270569;211.329926;1093.991821;789.341370;303.525513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
