;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
21;892.410645;671.829651;131.912796;1121.926025;729.853271;262.802307;1097.815063;708.992432;424.666046;808.278137;628.210632;95.727837;777.082947;708.042786;100.437721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;892.334473;671.860962;132.253311;1121.877319;729.854004;262.733154;1097.927856;708.986633;424.720337;808.260925;628.210876;95.742363;777.102295;708.039978;100.403687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;892.139099;671.910828;132.351715;1121.839233;729.853149;262.700592;1097.937256;708.982300;424.690247;808.249146;628.304382;95.598808;777.116821;708.035156;100.386818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;892.176392;671.878113;132.289719;1121.830811;729.847046;262.723022;1097.848511;708.992493;424.654663;808.294495;628.349243;95.547241;777.118958;708.034058;100.385628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;892.194519;671.870361;132.193085;1121.819336;729.844116;262.708344;1097.863525;709.051514;424.658783;808.233765;628.335022;95.557274;777.079529;708.051453;100.421989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;892.229736;671.859009;132.146210;1121.763062;729.849976;262.750244;1097.809937;709.004578;424.652161;808.194641;628.228516;95.632362;777.071167;708.050110;100.429245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;892.164734;671.903809;132.178223;1121.772949;729.860291;262.760590;1097.872559;709.044495;424.661530;808.236145;628.290649;95.600098;777.105347;708.039185;100.415001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;892.217590;671.875610;132.244370;1121.772705;729.829346;262.732422;1097.764038;709.066956;424.654510;808.173828;628.244141;95.661812;777.081482;708.050842;100.423698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;892.249817;671.846924;132.247604;1121.833252;729.848694;262.703827;1097.896973;709.097717;424.659851;808.169373;628.198608;95.674538;777.082886;708.049133;100.427757;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;892.264709;671.761047;132.236633;1121.716187;729.858276;262.675842;1097.886353;709.102234;424.710327;808.161377;628.195435;95.648453;777.083618;708.045776;100.417343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;892.264343;671.743652;132.235184;1121.807373;729.859619;262.676086;1097.871216;709.103149;424.667664;808.165527;628.204285;95.634628;777.091248;708.045593;100.418526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;892.231262;671.760254;132.249710;1121.770630;729.851501;262.628265;1097.852539;709.136536;424.611755;808.129883;628.231323;95.661339;777.092712;708.045959;100.420006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;892.273621;671.734619;132.286560;1121.829590;729.875061;262.621094;1097.691650;709.209412;424.601715;808.114441;628.222839;95.604057;777.113220;708.038025;100.408089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;892.340942;671.720581;132.306732;1121.781128;729.973267;262.613434;1097.689575;709.228394;424.631653;808.060791;628.245972;95.649796;777.124084;708.034729;100.397598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;892.321533;671.730347;132.238388;1121.763184;729.987671;262.611664;1097.716675;709.215820;424.567902;808.044373;628.231873;95.583832;777.143921;708.047058;100.338257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;892.394348;671.599243;132.265259;1121.767944;730.020325;262.619049;1097.780518;709.356628;424.553101;808.115295;628.223145;95.577538;777.142151;708.035400;100.367722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;892.359375;671.584412;132.187134;1121.783325;730.126892;262.614716;1097.783936;709.370239;424.550690;808.159607;628.312988;95.547844;777.125427;708.033813;100.396980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;892.452576;671.559143;132.083282;1121.779053;730.121277;262.560699;1097.836670;709.420288;424.537231;808.391907;628.182739;95.576553;777.115845;708.036072;100.407326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;892.505859;671.563660;132.054382;1121.926880;730.191833;262.970245;1097.786133;709.386292;424.554352;808.419495;628.139343;95.561386;777.137878;708.028503;100.392876;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;892.469116;671.587708;132.069870;1121.796997;730.345093;262.781921;1097.737549;709.415710;424.561279;808.163818;628.309631;95.602867;777.184631;708.026062;100.435356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;892.572632;671.536133;132.074127;1121.692627;730.421936;262.621277;1097.734131;709.477539;424.566711;808.423950;628.240234;95.531830;777.209656;708.019104;100.437950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;892.744263;671.563354;131.895081;1122.034424;730.390442;262.579346;1097.625488;709.534973;424.567383;808.443420;628.165955;95.522858;777.223633;708.035828;100.387695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;892.613159;671.704285;132.018311;1121.774780;730.556580;262.454926;1097.587891;709.604309;424.550629;808.275024;628.226685;95.642349;777.283691;708.031555;100.367561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;892.451965;671.690186;132.121689;1122.239746;730.463867;262.947449;1097.587769;709.661499;424.559784;808.352173;628.241272;95.591888;777.282471;708.034851;100.370781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;892.318909;671.829102;132.193787;1122.041626;730.592957;262.581970;1097.537109;709.668457;424.508484;808.253540;628.223267;95.710556;777.208801;708.026062;100.421669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;892.225403;671.905518;132.333572;1122.050659;730.689819;262.542877;1097.259888;709.717468;424.382660;808.179932;628.200256;95.837265;777.169678;708.028076;100.459778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
