Weight64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/05/06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:17:22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
37;643.087036;723.411926;150.982224;526.472107;698.835510;173.850586;582.147339;639.755066;158.967087;967.316956;831.485962;358.781921;;;;885.841980;853.474854;203.027863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;639.072815;723.341736;150.404312;521.952881;699.527283;174.057205;577.597778;640.130066;158.446854;964.199280;831.398987;358.432800;;;;882.227966;851.817322;203.455933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;634.545837;723.718140;150.414017;517.510742;700.127197;173.939545;573.015808;640.557373;158.221985;961.616577;830.838562;358.200989;;;;878.410583;850.547729;203.915283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;629.693481;723.791504;150.254272;513.283386;700.635071;172.997208;568.335266;641.024292;157.951691;958.771912;829.275696;357.411560;;;;874.611938;849.071777;204.021713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;625.506470;723.526245;150.153427;509.074738;701.153748;172.515305;563.851501;641.235107;157.003403;955.548401;828.502686;357.618164;;;;871.436951;847.505188;204.260071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;622.173584;723.661255;149.344849;505.043091;701.775757;171.899506;559.514221;641.585449;156.127655;953.057495;828.065002;357.304199;;;;867.877380;846.477966;204.334381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;618.527649;723.766418;148.955765;500.663391;702.136292;171.566422;555.207031;642.102966;155.767868;950.830322;827.238831;356.851013;;;;864.991882;844.786499;204.379166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;614.785645;723.400574;148.609879;496.855835;702.561157;170.956619;550.965088;642.293945;154.906113;948.290588;825.604614;356.219666;;;;861.772888;843.291443;204.432419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;610.463074;723.480469;148.556183;492.965088;703.184937;170.147415;546.930054;642.608521;154.337280;944.853821;825.307556;356.890991;;;;858.624329;841.887268;204.339691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;606.912292;723.703857;147.906601;489.173553;703.761658;169.693268;542.863953;642.941589;153.899750;941.828369;824.836487;356.808228;;;;855.250488;840.756042;204.997528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
