;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
26;763.449646;687.379639;228.844284;810.097961;973.224121;287.318115;901.736389;986.038879;475.428253;;;;766.861633;630.990356;140.656769;;;;714.436035;613.203796;147.841675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;759.911255;687.501160;229.896881;809.000427;972.856873;287.925140;901.080383;985.763428;475.795807;;;;763.578369;630.564575;142.549500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;755.819092;687.635376;230.866959;806.577026;972.763062;288.874695;900.181885;985.421387;476.117920;;;;759.369690;630.170166;143.878525;;;;;;;706.472656;615.291199;149.605957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;752.334106;687.599731;232.133865;805.768860;972.391724;289.008698;899.165161;984.949463;476.604004;;;;754.716492;629.977417;144.508636;;;;;;;701.609070;611.811768;151.305069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;748.554321;687.502136;232.741623;803.928833;972.078064;289.993195;898.019348;984.494751;477.050140;;;;750.289246;630.051636;145.412537;;;;;;;696.661377;610.976929;153.458023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;744.774109;687.332520;233.647614;801.236328;972.063660;290.726990;897.421448;983.945862;477.169067;;;;745.199097;630.483704;145.732437;;;;;;;691.825562;611.526733;154.924500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;740.982605;687.415344;234.619812;799.797241;971.881409;291.684265;897.244080;983.511292;476.966675;;;;740.757568;630.578796;146.697281;;;;;;;688.626221;612.507568;156.296143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;736.844421;687.447083;235.687042;798.196472;971.410828;292.756317;897.103271;983.208435;476.910828;;;;737.254028;630.052002;148.508850;;;;;;;684.163330;612.687012;157.166367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;732.746643;687.465515;236.608414;796.162903;971.184326;293.651825;896.467468;982.672791;477.048523;;;;733.256104;629.601501;149.800400;;;;;;;679.312927;612.854858;157.701172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;729.063293;687.332520;237.418823;794.197083;970.711609;294.488922;895.601440;982.118958;477.306335;;;;728.817322;629.231201;150.597153;;;;;;;674.846680;613.515259;158.343536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
