PTP314;;;
Date:;2025/04/08;;
Time:;13:19:07;;
Type:;test;;
Description:;"";;
Notes:;"";;
TRAJECTORIES;;;
200.000000;Hz;;
;*1;;
Field #;X;Y;Z
297;238.823761;407.745483;143.301773
298;236.788452;406.470367;144.653976
299;234.693253;404.989685;145.842651
300;232.561218;403.433167;147.293152
301;230.382507;402.206757;148.381042
302;228.035660;400.565430;150.108032
303;225.809143;399.360504;151.368240
304;223.103500;397.696045;152.984314
305;221.117233;396.061554;154.174713
306;218.634537;394.713562;155.270294
307;216.380157;392.930511;156.307022
308;213.746475;391.365417;157.763382
309;211.224152;390.040253;158.859222
310;208.637894;388.080994;160.092697
311;206.451324;386.511444;160.562973
312;203.910599;385.059204;161.450806
313;201.683289;383.238037;162.297882
314;198.896576;381.798737;163.397827
315;196.473892;380.184662;164.119324
316;194.232315;378.353180;164.446503
317;191.662476;376.869476;165.167130
318;189.198959;375.172333;165.529236
319;186.432846;373.811401;166.055603
320;184.051590;372.053467;166.618668
321;181.654510;370.481689;166.655273
322;179.123962;369.255341;166.818710
323;176.545761;367.527679;167.160904
324;174.194427;366.032623;166.994644
325;171.687912;364.788666;166.957840
326;169.122589;363.301270;167.451859
327;166.894363;361.844421;167.286896
328;164.512955;360.482025;167.066696
329;162.082520;359.512238;167.113129
330;159.656662;357.869720;166.908401
331;157.622131;356.467926;166.496368
332;155.442200;355.227570;165.916840
333;153.360046;354.293793;165.545929
334;151.104263;353.044403;165.290329
335;148.921005;351.844055;165.049072
336;146.967621;350.498993;164.409363
337;144.889053;349.538574;163.790802
338;143.181442;348.591278;163.106033
339;141.359070;347.680817;162.253250
340;139.361847;346.862366;161.601440
341;137.696060;345.890930;161.075485
342;135.871262;345.036530;160.246429
343;134.123596;344.271149;159.560623
344;132.543076;343.511841;158.725479
345;131.168564;342.713531;157.955841
346;129.538696;342.035767;157.040466
347;128.059174;341.254395;156.267731
348;126.767448;340.661591;155.413498
349;125.456474;339.880157;154.580688
350;123.819969;339.491882;153.803177
351;122.906631;338.881836;152.649353
352;121.688560;338.396912;151.380737
353;120.753365;337.924530;150.514877
354;119.505943;337.489594;149.633881
355;118.571487;337.144775;148.942856
356;117.399895;336.617493;147.653580
357;116.731377;336.273560;146.348923
358;116.050354;335.945190;145.337616
359;115.116699;335.460785;144.195526
360;114.401909;335.277283;143.683517
361;113.622498;334.920837;142.511154
362;112.778687;334.634857;140.915131
363;112.397087;334.426392;140.029495
364;111.765884;334.379028;138.848221
365;111.245705;334.307678;137.379776
366;111.128265;334.136322;135.933365
367;110.832260;334.064056;134.689667
368;110.088364;334.143433;133.324692
369;109.716263;334.247406;132.328949
370;109.680809;334.348419;130.886139
371;108.867561;334.542938;129.178497
372;108.255867;334.719208;128.117996
373;107.765694;334.684113;127.233780
374;106.703056;334.640442;126.129120
375;105.893089;334.433899;125.614769
376;105.107727;334.267212;125.505638
377;104.335381;334.192261;125.198433
378;103.638565;334.120422;124.904854
379;103.244759;333.987915;124.526978
380;103.034973;333.776367;124.271973
381;103.005234;333.581970;124.023804
382;102.938484;333.528625;123.866829
383;102.907104;333.442047;123.805901
384;102.857384;333.354736;123.763969
385;102.816048;333.273438;123.732674
386;102.805275;333.239594;123.738808
387;102.871201;333.201691;123.752312
388;102.873871;333.239899;123.734428
389;102.933800;333.237457;123.736794
390;102.950890;333.263123;123.730927
391;102.959000;333.347443;123.704727
392;102.962585;333.447449;123.703636
393;102.945213;333.531158;123.682610
394;102.924622;333.647797;123.607956
395;102.905121;333.805542;123.542915
396;102.887978;333.982391;123.482628
397;102.920998;334.048645;123.427444
398;102.898911;334.117493;123.367386
399;102.699913;334.157471;123.205429
400;102.577286;334.282990;123.158524
401;102.539864;334.351501;123.098770
402;102.460236;334.391144;123.042122
403;102.345108;334.411163;123.030083
404;102.285156;334.424011;123.001930
405;102.174103;334.420685;123.014259
406;102.058235;334.411041;122.980606
407;102.009575;334.413849;122.908035
408;101.958916;334.447876;122.925629
409;101.835968;334.414825;122.838585
410;101.714676;334.428345;122.860657
411;101.626846;334.369202;122.850594
412;101.525276;334.388824;122.876801
413;101.416840;334.336853;122.910721
414;101.338646;334.335938;122.837807
415;101.235817;334.268158;122.813965
416;101.100395;334.315521;122.825325
417;100.986122;334.285858;122.857162
418;100.822449;334.283112;122.769569
419;100.741516;334.261108;122.578362
420;100.647629;334.210754;122.593994
421;100.544411;334.216705;122.604851
422;100.505379;334.211426;122.607857
423;100.428307;334.127319;122.681473
424;100.315285;334.063538;122.705078
425;100.245491;334.056274;122.722260
426;100.144325;333.993042;122.727654
427;100.050720;333.995270;122.756378
428;99.935493;333.957123;122.767189
429;99.887177;333.919312;122.794151
430;99.794228;333.926666;122.752853
431;99.734299;333.907745;122.775291
432;99.695435;333.893311;122.770798
433;99.611847;333.889130;122.745461
434;99.587257;333.877258;122.740463
435;99.558006;333.891327;122.678665
436;99.529915;333.908081;122.676109
437;99.554680;333.896454;122.672989
438;99.623901;333.893707;122.694283
439;99.638458;333.883942;122.697464
440;99.747856;333.778168;122.725479
441;99.852188;333.678955;122.762520
442;99.871674;333.632050;122.833138
443;99.954376;333.496460;122.903671
444;100.015846;333.361176;123.042030
445;100.156174;333.208008;123.212555
446;100.257896;333.062256;123.645836
447;100.568985;332.834015;124.068405
448;100.840439;332.646942;124.460464
449;101.135628;332.317078;125.061722
450;101.640884;332.000275;125.631493
451;101.886215;331.610382;126.149315
452;102.088554;331.430817;126.668739
453;102.850891;330.959229;127.472664
454;103.727913;330.674072;128.064438
455;104.146614;330.235565;128.433731
456;104.990791;329.863495;129.305099
457;106.011063;329.623352;130.188904
458;106.721657;329.447052;130.915771
459;107.960342;329.261993;131.709717
460;108.980888;329.016663;132.460953
461;110.292038;328.905426;133.663528
462;111.392273;328.618256;135.020538
463;113.009506;328.254120;135.875427
464;114.264801;327.985474;136.753952
465;116.146713;327.431213;138.477341
466;117.745522;327.049164;139.874054
467;119.459213;326.901123;141.520325
468;121.405289;326.549316;142.822754
469;123.672729;326.227051;144.425079
470;125.900192;325.803436;146.131882
471;128.507385;325.403687;147.980133
472;130.951035;324.930542;149.751282
473;133.577179;324.537323;151.516891
474;136.401993;324.176605;153.250809
475;139.252319;324.018555;154.946930
476;142.186798;323.594330;156.607864
477;145.521622;323.214813;158.476532
478;148.825119;322.702332;160.258698
479;152.253845;322.552734;162.177933
480;156.042542;322.162903;163.655090
481;159.813583;321.673492;164.989807
482;163.826889;321.282166;166.746460
483;167.528732;321.108826;168.616669
484;171.327637;320.734344;170.668594
485;175.957962;320.415833;171.564774
486;180.344345;320.086761;172.680527
487;184.621948;319.765472;174.353745
488;189.182007;319.750549;175.644806
489;193.841019;319.654541;177.008896
490;198.357529;319.489319;178.305603
491;203.073837;319.182037;179.451096
492;207.948578;318.813873;180.336914
493;212.772293;318.706848;181.580429
494;217.572952;318.658325;182.488693
495;222.641525;318.715179;183.595154
496;227.794434;318.415009;184.363403
497;232.636047;318.326752;185.078506
498;237.767960;318.300446;185.785782
499;242.718399;318.531006;186.470703
500;247.904327;318.288910;186.853027
501;252.992493;318.472900;187.571320
502;258.005493;318.618225;187.937515
503;263.217651;318.612335;188.283997
504;268.118103;318.563538;188.895584
505;273.407196;318.584259;188.880264
506;278.494781;318.952637;189.102341
507;283.647125;318.858276;189.124954
508;288.732758;318.799408;188.948059
509;293.871216;319.107849;189.085052
510;298.778259;319.308167;189.057373
511;303.628662;319.316467;188.715134
512;308.651001;319.619507;188.448456
513;313.697357;319.670441;188.246460
514;318.468689;319.896301;187.695663
515;323.431519;320.227295;187.130600
516;328.233246;320.501556;186.523300
517;332.813293;320.651367;186.110687
518;337.485901;321.073730;185.469620
519;342.078186;321.380890;184.780396
520;346.496094;321.716400;183.846542
521;351.276886;321.901978;183.003799
522;355.868927;322.196075;181.836700
523;360.253723;322.700409;180.885086
524;364.765411;322.993378;179.886230
525;368.774353;323.305908;179.047424
526;372.680450;323.799133;178.069427
527;376.999908;324.181122;176.972031
528;380.851563;324.609009;175.812607
529;385.155151;324.766205;174.523392
530;388.651550;325.341827;173.374222
531;392.524963;325.612122;172.326614
532;396.270233;326.016144;171.181732
533;400.027954;326.280670;169.892563
534;403.084412;326.715790;168.759262
535;406.872650;327.079987;167.515793
536;409.880310;327.497467;166.310074
537;413.337585;327.869476;164.902756
538;416.433990;328.293732;163.932205
539;419.557831;328.538818;162.697647
540;422.775177;328.963226;161.005661
541;425.425842;329.254089;159.931412
542;428.362518;329.479065;159.070160
543;431.161102;330.021240;157.666229
544;433.571014;330.288971;156.718430
545;436.481232;330.507568;155.643951
546;438.411438;330.972809;154.504333
547;441.095978;331.005463;153.506638
548;443.187775;331.193390;152.580612
549;445.083252;331.413574;151.349579
550;447.263092;331.579956;150.763763
551;449.514740;331.547852;149.666412
552;450.932129;331.956024;148.502213
553;452.769348;331.804718;147.217667
554;454.954315;332.003784;146.331726
555;456.658966;332.135468;145.411057
556;458.023010;332.494751;144.143387
557;459.738159;332.541168;142.862320
558;461.500641;332.715607;141.733475
559;462.930695;332.780273;140.519012
560;464.075348;333.237335;139.221405
561;465.515778;333.500488;138.173431
562;466.778442;333.628479;137.324753
563;468.316040;333.643280;135.219620
564;469.213135;333.826752;133.911667
565;470.542267;334.329651;132.284729
566;471.325500;334.676392;130.921494
567;471.974213;334.793854;129.465454
568;472.450867;335.051483;128.082169
569;472.397156;335.454041;127.104591
570;472.337463;335.345703;126.380821
571;472.243652;335.003387;125.924522
572;472.247406;334.654694;125.777809
573;472.322449;334.497009;125.502243
574;472.547546;334.392853;125.445801
575;472.659302;334.373840;125.398331
576;472.876984;334.290741;125.430382
577;473.061462;334.262451;125.551682
578;473.034363;334.302734;125.694870
579;473.097443;334.370117;125.912201
580;473.129547;334.431763;125.870438
581;473.261200;334.280182;125.979362
582;473.288971;334.353760;125.985985
583;472.986969;334.688690;125.756927
584;472.885590;334.777283;125.688019
585;472.965454;334.788147;125.608528
586;472.848785;334.887604;125.580009
587;472.667877;335.049927;125.508904
588;472.603882;335.204895;125.455147
589;472.451691;335.365784;125.357307
590;472.301544;335.451874;125.337410
591;472.170532;335.519226;125.279762
592;472.018707;335.711212;125.247398
593;471.946167;335.770844;125.231201
594;471.745911;335.997467;125.506241
595;471.690643;335.985504;125.189354
596;471.653076;336.142670;125.029259
597;471.460602;336.292572;125.047760
598;471.330719;336.462463;124.973717
599;471.227020;336.648987;124.873619
600;471.064575;336.856506;124.776657
601;470.931549;336.888763;124.666130
602;470.684723;337.186432;124.711670
603;470.654297;337.183990;124.628326
604;470.593536;337.308624;124.540298
605;470.542725;337.441437;124.488335
606;470.445374;337.472717;124.460205
607;470.366852;337.666504;124.367447
608;470.331604;337.786957;124.368172
609;470.321594;337.905060;124.338997
610;470.239929;337.966583;124.227722
611;470.143250;338.102234;124.171852
612;470.219788;338.201202;124.068787
613;470.210236;338.341431;124.070099
614;470.201965;338.403046;124.068672
615;470.280273;338.458710;123.901398
616;470.273499;338.519531;123.871552
617;470.273712;338.594666;123.790703
618;470.274048;338.634552;123.770798
619;470.352325;338.686371;123.796318
620;470.429199;338.723145;123.742867
621;470.422546;338.692413;123.732155
622;470.431030;338.694275;123.731056
623;470.433960;338.702148;123.743027
624;470.415497;338.706726;123.739510
625;470.483002;338.729889;123.763351
626;470.470398;338.692535;123.758652
627;470.509521;338.649017;123.794769
628;470.600128;338.638794;123.859154
629;470.623657;338.566620;123.870567
630;470.580963;338.538452;123.858910
631;470.630402;338.525024;123.857246
632;470.622345;338.437561;123.947556
