PTP-1128;;;
Date:;2025/04/16;;
Time:;11:03:04;;
Type:;test;;
Description:;"";;
Notes:;"";;
TRAJECTORIES;;;
200.000000;Hz;;
;*1;;
Field #;X;Y;Z
135;666.740234;657.682434;107.680473
136;666.227051;657.286377;108.081032
137;665.619751;657.216187;107.909225
138;665.152527;657.273926;107.377159
139;664.668030;657.221191;107.500252
140;664.042603;657.020020;107.269043
141;663.405579;656.890381;107.067970
142;662.774475;656.854065;107.062416
143;662.279175;656.759949;107.052147
144;661.864319;656.652893;107.024208
145;661.607178;656.568054;106.961426
146;661.313782;656.552307;106.896164
147;660.909119;656.469543;106.659683
148;660.500488;656.385254;106.496506
149;660.139160;656.324951;106.295166
150;659.789246;656.143127;106.036438
151;659.377380;655.981445;105.690430
152;659.102234;655.854980;105.597878
153;658.881409;655.585632;105.522423
154;658.644104;655.293213;105.368011
155;658.475098;655.066406;105.303238
156;658.303040;654.868835;105.140785
157;658.136353;654.698975;105.022118
158;658.142639;654.412659;105.115273
159;658.043579;654.186279;105.048599
160;657.941895;653.968994;105.038147
161;657.613403;653.773071;104.551933
162;657.472168;653.418396;103.805756
163;657.337524;653.305908;103.339973
164;657.232361;653.180420;103.103371
165;657.011780;653.205261;102.645889
166;656.989441;653.522644;101.896019
167;657.015808;653.623779;101.564651
168;656.984253;653.541687;101.448311
169;656.959229;653.502197;101.242203
170;656.930237;653.441406;101.006866
171;656.932373;653.305664;100.770409
172;656.874268;653.281860;100.532066
173;656.730835;653.082825;99.990540
174;656.708801;652.932922;99.458107
175;656.713135;652.644897;98.918259
176;656.723938;652.488220;98.641495
177;656.742676;652.335083;98.264343
178;656.713379;652.406189;97.726173
179;656.640747;652.436951;97.173790
180;656.707764;652.609863;96.616600
181;656.727783;652.667053;96.319427
182;656.708008;652.581970;96.202477
183;656.656067;652.554565;95.963760
184;656.607361;652.559387;95.771606
185;656.577271;652.573853;95.579857
186;656.487610;652.604858;95.301765
187;656.456848;652.599243;94.892044
188;656.465393;652.509583;94.252777
189;656.322754;652.498169;93.738037
190;656.260315;652.463257;93.679626
191;656.354858;652.272705;93.205917
192;656.421204;652.234192;92.764221
193;656.526672;652.204407;92.542793
194;656.600220;652.179932;92.396103
195;656.670105;652.369141;91.919609
196;656.713562;652.568970;91.645752
197;656.666809;652.814331;91.154732
198;656.675354;652.859924;90.836418
199;656.783691;652.843140;90.782532
200;656.738708;652.932678;90.721382
201;656.772949;652.961975;90.623955
202;656.786560;652.948547;90.481262
203;656.705078;652.972351;90.482201
204;656.679260;652.937195;90.423752
205;656.576233;652.953796;90.389862
206;656.537964;652.878906;90.356369
207;656.539734;652.944336;90.203598
208;656.445740;652.995667;90.111916
209;656.381897;652.983582;90.076347
210;656.240173;652.919250;90.121941
211;656.120361;652.899841;90.074173
212;655.974609;652.825378;90.103043
213;655.856323;652.821533;90.167007
214;655.773315;652.832214;90.211296
215;655.562317;652.819031;90.170151
216;655.468140;652.747864;90.258591
217;655.313049;652.707092;90.113487
218;655.013428;652.677612;90.010139
219;654.827332;652.662231;89.985405
220;654.563904;652.721985;89.854965
221;654.343201;652.727600;89.703125
222;654.117432;652.879578;89.509323
223;653.932556;652.917664;89.379852
224;653.672180;652.917725;89.166382
225;653.594666;652.770203;88.597191
226;653.360474;652.832153;88.748024
227;653.086731;652.808044;88.692612
228;652.904785;652.693176;88.667778
229;652.776062;652.458496;88.473404
230;652.611145;652.424988;88.613304
231;652.538086;652.141479;89.043465
232;652.465393;651.888184;89.381630
233;652.377808;651.721252;89.538429
234;652.194275;651.534424;89.601410
235;652.083984;651.298889;89.629074
236;651.983093;651.143921;89.612679
237;651.972900;651.006165;89.679108
238;651.892212;651.029907;89.293625
239;651.922791;651.101196;89.172012
240;651.905334;650.941895;89.259842
241;651.877441;650.883728;89.325996
242;651.839966;650.781616;89.343857
243;651.834045;650.764160;89.345886
244;651.787109;650.668762;89.389847
245;651.764709;650.653564;89.440689
246;651.749939;650.628540;89.409569
247;651.708435;650.575745;89.494751
248;651.677429;650.538452;89.523514
249;651.718994;650.429138;89.546921
250;651.740967;650.322937;89.598885
251;651.704651;650.226501;89.608833
252;651.684814;650.105286;89.639572
253;651.639282;649.899780;89.646599
254;651.577087;649.681885;89.717636
255;651.608276;649.544678;89.782135
256;651.629089;649.358521;89.817497
257;651.558838;649.179504;89.823280
258;651.449402;648.920898;89.810562
259;651.323242;648.575439;89.737267
260;651.229248;648.185852;89.581848
261;651.244934;648.161499;89.537247
262;651.238342;648.301758;89.571297
263;651.187500;648.381104;89.747055
264;651.146545;648.376282;89.831512
265;651.153809;648.383911;89.849884
266;651.083618;648.374634;89.851067
267;651.021118;648.367249;89.938858
268;650.991699;648.367859;90.008125
269;650.989502;648.367310;90.016106
270;650.961121;648.363647;90.021622
271;650.988342;648.367615;90.009590
272;651.012817;648.455261;89.977882
273;651.007996;648.392883;89.984795
274;651.011475;648.357483;89.996475
275;650.954651;648.380249;89.992378
276;650.998413;648.458191;89.981674
277;651.019287;648.475891;89.966888
278;651.019653;648.471436;89.965187
279;651.066833;648.559265;89.893234
280;651.076233;648.501465;89.880836
281;651.080139;648.560059;89.874626
282;651.081665;648.580811;89.869240
283;651.068665;648.586182;89.906174
284;651.120789;648.601929;89.888786
285;651.140076;648.608398;89.869743
286;651.139404;648.608582;89.867111
287;651.168335;648.594604;89.946991
288;651.120789;648.603394;89.926895
289;651.123169;648.587585;89.973122
290;651.157959;648.585205;89.974594
291;651.172180;648.589539;89.963776
292;651.169617;648.590515;89.959602
293;651.180664;648.585999;89.929718
294;651.138550;648.585327;89.966553
295;651.082214;648.462158;89.989227
296;651.041870;648.448669;89.993401
297;651.050110;648.469666;89.922844
298;651.098206;648.416809;89.974586
299;651.047485;648.352051;89.895676
300;651.038696;648.348022;89.871284
301;651.029785;648.269958;89.894623
302;651.003601;648.280396;89.883469
303;650.975098;648.259155;89.853889
304;650.960693;648.257446;89.877869
305;650.969421;648.273193;89.899193
306;650.933838;648.245728;89.797119
307;650.864807;648.249634;89.794838
308;650.850220;648.252136;89.838715
309;650.876099;648.283752;89.873245
310;650.835144;648.243652;89.866020
311;650.822327;648.168091;89.709244
312;650.879150;648.064392;89.752586
313;650.880493;648.083313;89.718887
314;650.842712;648.106018;89.770226
315;650.817200;648.065918;89.697670
316;650.808533;648.075989;89.708267
317;650.846741;648.087891;89.722687
318;650.824707;648.100952;89.733894
319;650.774414;648.087830;89.727768
320;650.693909;648.093689;89.732872
321;650.691650;648.179321;89.718361
322;650.711853;648.202515;89.697556
323;650.673218;648.191956;89.714806
324;650.611145;648.183105;89.753166
325;650.595825;648.179138;89.769051
326;650.510681;648.333984;90.021881
327;650.444458;648.292786;89.871635
328;650.332642;648.303833;89.639641
329;650.184509;648.252197;89.702591
330;650.132996;648.297546;89.767105
