PTP-1161;;;;;;;;;
Date:;2025/04/23;;;;;;;;
Time:;14:00:23;;;;;;;;
Type:;test;;;;;;;;
Description:;"";;;;;;;;
Notes:;"";;;;;;;;
TRAJECTORIES;;;;;;;;;
200.000000;Hz;;;;;;;;
;*1;;;*2;;;*3;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z
327;622.298645;657.243164;100.484207;;;;;;
328;622.224243;657.074829;100.454720;;;;;;
329;622.234863;656.939148;100.557304;;;;;;
330;622.222839;656.933899;100.631302;;;;;;
331;622.207520;656.844421;100.645256;;;;;;
332;622.203552;656.843384;100.658020;;;;;;
333;622.254456;656.761902;100.733467;;;;;;
334;622.232544;656.725647;100.771263;;;;;;
335;622.219055;656.717468;100.764679;;;;;;
336;622.207825;656.636658;100.779678;;;;;;
337;622.207153;656.627502;100.800880;;;;;;
338;622.211853;656.642761;100.869598;;;;;;
339;622.195984;656.649963;100.920341;;;;;;
340;622.180359;656.646912;100.898636;;;;;;
341;622.164307;656.626831;100.922623;;;;;;
342;622.198547;656.620789;100.984673;;;;;;
