Trial07
Date:,2025/04/01
Time:,13:56:50
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1
Field #,X,Y,Z
161,953.857788,433.945984,29.836874
162,957.524658,432.630524,29.867798
163,961.203369,431.293579,30.143923
164,964.595520,430.220856,30.462214
165,968.190979,429.256104,30.025347
166,971.434265,428.362518,30.036070
167,974.824768,427.388031,30.442034
168,978.498718,426.578766,30.505751
169,981.892090,426.007935,30.607935
170,985.371948,425.349609,30.548519
171,989.070923,424.670380,30.515554
172,992.589111,424.160706,30.694855
173,996.353638,423.705627,30.771065
174,999.968445,423.377502,30.722494
175,1003.458496,423.250854,30.964821
176,1007.301941,423.111267,31.074551
177,1011.120911,422.886993,31.213884
178,1014.708069,422.956970,31.332867
179,1018.506409,423.107666,31.672859
180,1022.518311,423.192200,31.499563
181,1026.200073,423.458374,31.631918
182,1029.954834,423.958588,31.780069
183,1033.965088,424.332458,31.790691
184,1037.813232,425.033630,31.805485
185,1041.471680,425.925232,32.158764
186,1045.201416,426.644165,32.155327
187,1048.644165,427.503662,31.959696
188,1051.905884,428.647736,32.164387
189,1055.336304,429.843964,32.202095
190,1058.175537,431.234650,32.572906
191,1061.198853,432.549225,32.622917
192,1064.440552,434.162292,32.875854
193,1067.505859,435.825928,32.759773
194,1070.506714,437.471893,32.830868
195,1073.299438,439.469788,32.865868
196,1076.432373,441.190918,32.856094
197,1079.369629,443.363953,33.115177
198,1082.608521,445.509247,33.265385
199,1085.219727,447.746185,33.247692
200,1088.554565,450.012360,33.184364
201,1091.234619,452.449249,33.364769
202,1094.477539,455.188568,33.686222
203,1097.335083,457.744751,33.994289
204,1100.025513,460.344177,33.757420
205,1102.644775,463.039612,33.904049
206,1104.935303,465.793701,33.405804
207,1107.011841,468.475159,33.922359
208,1109.010254,471.302856,34.202412
209,1110.745361,473.952148,33.846962
210,1111.860474,476.599854,34.112686
211,1113.445679,479.344727,34.414738
212,1115.123291,482.233398,34.035973
213,1116.415283,484.884583,34.133583
214,1117.322388,487.773407,34.476974
215,1118.265015,490.726135,34.434589
216,1119.323486,493.859039,34.340733
217,1120.661377,496.691315,34.095284
218,1121.536133,499.537201,34.041702
219,1122.334717,502.757599,34.686668
220,1123.030518,505.885712,34.853695
221,1123.864136,509.038330,34.691341
222,1124.566040,512.435364,34.922348
223,1125.761108,515.616211,34.969296
224,1126.583618,518.738892,34.476593
225,1127.306763,522.336548,34.601337
226,1127.940552,525.918091,34.855721
227,1128.353149,529.310059,34.726040
228,1128.726196,532.835815,34.727089
229,1129.057495,536.073547,34.880829
230,1129.268555,539.282166,34.762554
231,1129.514038,542.501404,35.086948
232,1129.543457,545.601624,35.013714
233,1129.382935,548.822083,35.131680
234,1129.177979,551.978943,35.050789
235,1128.691650,555.015747,34.985001
236,1128.180420,557.856323,34.684097
237,1127.292358,560.655090,34.917603
238,1126.210205,563.731812,35.129700
239,1125.523682,566.739990,35.275219
240,1124.848999,569.415161,35.118488
241,1123.768677,572.079346,35.020428
242,1122.500122,575.100464,34.593540
243,1121.103638,577.957153,34.979385
244,1120.211304,580.555847,35.240444
245,1119.212769,583.303650,34.979736
246,1117.600098,586.190063,34.570759
247,1115.808472,588.762024,34.758335
248,1115.075439,591.291443,35.074917
249,1113.791504,594.011108,34.625225
250,1111.915527,596.607666,35.036125
251,1110.432373,598.830322,34.963741
252,1109.108032,601.260010,34.753559
253,1107.075073,603.261230,34.825184
254,1105.498779,605.734985,34.591133
255,1103.840332,607.638855,34.302670
256,1101.661377,609.871582,34.773148
257,1100.069336,611.651794,34.508846
258,1097.586060,613.640198,34.349003
259,1095.730469,615.355103,34.485020
260,1093.615845,617.243469,34.342979
261,1091.223511,618.719543,34.543167
262,1089.241699,620.285156,34.186195
263,1086.610840,621.894287,34.342361
264,1084.594604,623.474670,34.384380
265,1081.709595,625.278687,34.291233
266,1079.859985,626.647156,34.104881
267,1077.141235,628.292297,34.169849
268,1074.793091,629.846558,33.965542
