Circle64
Date:,2025/04/28
Time:,14:11:10
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2
Field #,X,Y,Z,X,Y,Z
197,596.703552,-86.454636,17.733723,,,
198,595.587097,-84.919502,17.616974,,,
199,594.525085,-83.413818,17.719973,,,
200,593.681335,-82.125404,17.823912,,,
201,592.585510,-80.806671,17.760555,,,
202,591.745911,-79.270432,17.573711,,,
203,590.802246,-77.881386,17.429598,,,
204,589.986206,-76.665649,17.631889,,,
205,589.257080,-75.170242,17.914463,,,
206,588.365417,-73.628319,17.818871,,,
207,587.463623,-72.145981,17.729372,,,
208,586.619690,-70.799118,17.639378,,,
209,585.988159,-69.415565,17.468222,,,
210,585.501526,-68.121758,17.679989,,,
211,584.757568,-67.053040,17.194010,,,
212,583.982849,-65.231369,17.281120,,,
213,583.221558,-63.898319,17.233963,,,
214,582.556274,-62.841106,16.967558,,,
215,581.983337,-61.234516,17.099535,,,
216,581.514587,-59.761677,17.120695,,,
217,580.933228,-58.440975,17.289049,,,
218,580.174255,-57.153160,17.213772,,,
219,579.549316,-55.611874,16.996614,,,
220,579.064941,-54.291893,16.962481,,,
221,578.650146,-53.035812,16.789492,,,
222,578.276672,-51.386475,16.951200,,,
223,577.999390,-49.983307,17.193659,,,
224,577.740051,-48.613976,17.365677,,,
225,577.376953,-46.923946,17.442879,,,
226,577.201111,-45.652077,17.487091,,,
227,576.656799,-44.268330,17.395437,,,
228,576.258789,-42.640514,17.240360,,,
229,576.006653,-41.375679,17.170355,,,
230,575.794922,-40.016537,17.235968,,,
231,575.430725,-38.251499,17.375521,,,
232,575.300903,-37.117691,17.080172,,,
233,575.253723,-35.674244,17.266048,,,
234,575.158203,-34.138741,17.313496,,,
235,574.973755,-33.005081,17.334484,,,
236,574.832153,-31.690466,17.469955,,,
237,574.838684,-29.852419,17.656511,,,
238,574.794373,-28.705200,17.632652,,,
239,574.529358,-27.213274,17.469563,,,
240,574.423950,-25.602608,17.430920,,,
241,574.290710,-24.416506,17.538515,,,
242,574.417175,-22.933502,17.539965,,,
243,574.382141,-21.294352,18.006363,,,
244,574.222412,-19.916569,18.205442,,,
245,574.346436,-18.260654,18.041853,,,
246,574.256592,-16.830173,17.992979,,,
247,574.248718,-15.191418,18.044136,,,
248,574.175415,-13.571774,18.007450,,,
249,574.049438,-12.286362,18.101133,,,
250,574.035889,-10.508904,17.729136,,,
251,574.086060,-8.967717,17.858648,,,
252,574.107544,-7.611257,18.039421,,,
253,574.095581,-5.802535,18.170328,,,
254,574.109436,-4.570858,18.168806,,,
255,574.129883,-2.837212,17.981720,,,
256,574.171875,-1.311503,18.054592,,,
257,574.242554,-0.010512,18.308441,,,
258,574.390381,1.652237,18.196819,,,
259,574.463562,2.933362,18.262606,,,
260,574.528931,4.458311,18.154135,,,
261,574.776489,6.038117,17.956226,,,
262,574.902832,7.217584,18.250927,,,
263,575.214661,8.867675,17.921032,,,
264,575.338867,10.168945,17.904364,,,
265,575.516418,11.315765,18.535105,,,
266,575.626343,13.132704,18.395525,,,
267,575.747070,14.446680,18.432215,,,
268,575.856201,15.954215,18.486332,,,
269,576.062439,17.508806,18.315796,,,
270,576.101196,18.658981,18.203550,,,
271,576.425354,20.429728,18.310518,,,
272,576.684753,21.812656,18.429249,,,
273,576.765137,23.019867,18.584587,,,
274,577.100830,24.573139,18.731636,,,
275,577.216614,25.926828,18.439632,,,
276,577.490051,27.198612,18.232901,,,
277,577.867432,28.753073,18.112143,,,
278,578.093384,29.812273,18.188145,,,
279,578.277893,31.353636,18.512632,,,
280,578.518372,32.878075,18.404884,,,
281,578.883118,33.777683,18.544947,,,
282,579.403748,35.166763,18.653261,,,
283,579.931824,36.509319,18.397869,,,
284,580.222534,37.374554,18.436558,,,
285,580.637756,38.704067,18.519539,,,
286,581.282349,40.109127,18.613333,,,
287,581.913635,40.938725,18.623285,,,
288,582.345032,42.337971,19.374020,,,
289,582.836670,43.730701,19.169432,,,
290,583.412842,44.461540,19.041412,,,
291,583.996338,45.514240,18.630005,,,
292,584.632690,46.908001,18.557350,,,
293,585.191833,47.598217,19.154875,,,
294,585.779541,48.904099,18.834568,,,
295,586.487183,50.140545,18.604269,,,
296,587.147644,51.228798,18.797638,,,
297,587.789734,52.325619,19.092882,,,
298,588.496399,53.358009,19.570112,,,
299,589.275940,54.378044,19.037355,,,
300,589.791199,55.353203,18.890495,,,
301,590.450806,56.740025,18.839006,,,
302,591.341797,57.705708,18.841125,,,
303,592.128906,58.416542,18.935955,,,
304,592.873962,59.645382,18.984255,,,
305,593.729736,60.802315,19.053576,,,
306,594.484314,61.527004,19.216116,,,
307,595.238953,62.556541,19.098919,,,
308,596.101196,63.898731,19.147867,,,
309,596.964783,64.669670,19.510048,,,
310,597.870605,65.541344,19.288328,,,
311,598.778564,66.778404,19.328220,,,
312,599.816406,67.691887,19.348309,,,
313,600.532410,68.418701,19.587801,,,
314,601.562744,69.672813,19.385345,,,
315,602.511597,70.920593,19.311060,,,
316,603.388550,71.621162,19.535339,,,
317,604.407166,72.524895,19.677483,,,
318,605.713074,73.707100,19.338884,,,
319,606.648254,74.526703,19.349283,,,
320,607.735229,75.551270,19.340073,,,
321,608.731689,76.522652,19.826923,,,
322,609.961548,77.480644,19.915411,,,
323,610.957153,78.316689,19.388834,,,
324,612.072693,79.683266,19.625481,,,
325,613.317261,80.508247,20.269073,,,
326,614.474304,81.267960,20.310196,,,
327,615.799561,82.419449,20.076054,,,
328,616.805725,83.313828,19.929781,,,
329,618.231750,83.736259,20.077141,,,
330,619.671753,84.754807,19.982632,,,
331,621.084900,85.933105,20.005461,,,
332,622.283142,86.304489,20.276463,,,
333,623.621643,87.071457,20.190399,,,
334,625.292542,88.177345,20.124399,,,
335,626.715942,88.921364,20.291435,,,
336,628.142883,89.688805,20.444685,,,
337,629.676025,90.526794,20.152426,,,
338,631.210327,91.370125,20.317169,,,
339,632.739441,92.211006,20.500540,,,
340,634.420227,92.910858,20.474417,,,
341,635.862122,93.803253,20.715157,,,
342,637.362305,94.541039,20.403046,,,
343,639.150940,94.751335,20.086967,,,
344,640.861938,95.475563,20.672132,,,
345,642.405884,96.229607,20.601961,,,
346,644.067139,97.040962,20.736727,,,
347,645.637512,97.439873,20.893854,,,
348,647.115051,97.811279,20.604643,,,
349,648.766968,98.722427,20.807657,,,
350,650.665649,99.434700,20.950338,,,
351,651.855652,99.629433,20.966888,,,
352,653.498413,100.318176,21.178612,,,
353,655.359192,100.841743,21.025078,,,
354,657.022644,101.469986,20.868204,,,
355,658.735596,101.993156,21.162636,,,
356,660.500732,101.910057,21.649572,,,
357,661.838684,102.576508,21.506945,,,
358,663.524780,103.212807,21.337145,,,
359,665.564209,103.419685,21.316227,,,
360,667.198547,103.805511,21.369108,,,
361,668.907043,104.003479,21.358849,,,
362,670.801331,103.984337,21.220041,,,
363,672.341370,104.352402,21.637785,,,
364,674.101807,104.597847,21.320833,,,
365,676.052551,104.877426,21.060867,,,
366,677.543030,104.983047,21.157738,,,
367,679.441956,105.063637,21.160782,,,
368,681.266052,105.058693,21.249779,,,
369,682.848572,104.997284,21.420816,,,
370,684.773193,104.788071,21.809471,,,
371,686.285583,104.874077,21.628214,,,
372,687.957886,104.926285,22.205896,,,
373,689.717651,104.987587,22.038692,,,
374,691.367920,104.949234,21.448668,,,
375,692.988770,105.015160,21.840893,,,
376,694.828613,104.916954,22.176798,,,
377,696.527832,104.889893,21.528215,,,
378,698.122498,104.897461,21.942221,,,
379,699.771790,104.789627,22.133259,,,
380,701.387756,104.546555,21.750143,,,
381,703.115112,104.321564,21.925428,,,
382,704.551086,104.011581,22.591270,,,
383,706.121338,103.824127,22.532381,,,
384,707.782837,103.662643,22.181181,,,
385,709.310913,103.464287,22.207365,,,
386,710.750122,103.105904,22.608355,,,
387,712.399658,102.901581,22.631781,,,
388,714.039246,102.678246,22.333458,,,
389,715.571960,102.523575,22.475904,,,
390,717.219543,102.358917,22.732170,,,
391,718.883667,101.912216,22.730562,,,
392,720.245300,101.503830,22.396601,,,
393,721.764343,101.267815,22.365679,,,
394,723.537964,100.649635,23.065323,,,
395,724.768799,100.352753,22.630157,,,
396,726.387512,100.042816,22.472076,,,
397,728.237671,99.517799,22.457853,,,
398,729.409241,99.070656,22.511139,,,
399,730.948120,98.620720,22.485767,,,
400,732.907104,98.023628,22.481447,,,
401,734.273743,97.639908,22.392332,,,
402,735.817200,96.937271,22.928339,,,
403,737.392944,96.505669,22.690365,,,
404,738.896606,96.099197,22.356449,,,
405,740.228333,95.479523,22.188990,,,
406,741.719177,94.781898,22.467592,,,
407,743.223328,94.049103,22.932953,,,
408,744.632935,93.275810,22.738623,,,
409,746.131897,92.606651,22.505566,,,
410,747.541016,91.726181,22.569532,,,
411,748.783936,90.857285,23.046618,,,
412,750.394531,90.175598,23.178873,,,
413,751.994385,89.615059,22.835138,,,
414,753.433533,88.954231,22.343571,,,
415,754.760864,88.204048,22.141794,,,
416,756.010681,87.246269,22.529316,,,
417,757.361572,86.266624,22.875650,,,
418,758.294128,85.281006,22.897617,,,
419,759.786804,84.416557,23.085110,,,
420,761.239746,83.472900,22.871153,,,
421,762.624939,82.681152,22.777477,,,
422,763.709961,81.572090,22.713978,,,
423,764.841492,80.350876,22.916719,,,
424,766.098694,79.131569,23.298452,,,
425,767.300476,78.283157,23.184490,,,
426,768.351074,77.579521,23.104551,,,
427,769.650085,76.413498,23.124687,,,
428,770.661316,75.236778,23.444948,,,
429,771.852234,73.869507,23.422726,,,
430,772.890564,72.813293,23.136969,,,
431,774.022827,71.782890,23.183062,,,
432,775.198486,70.541359,23.255478,,,
433,776.317810,69.195885,23.134554,,,
434,777.045654,68.146667,22.892523,,,
435,777.990234,67.108490,22.722105,,,
436,779.044800,65.806343,22.812397,,,
437,780.109924,64.338470,23.251303,,,
438,781.018738,63.013073,23.311890,,,
439,781.821594,61.930641,22.946497,,,
440,782.722900,60.501217,23.191994,,,
441,783.585754,58.859272,23.375391,,,
442,784.472900,57.548672,23.368139,,,
443,785.201599,55.983990,23.569069,,,
444,785.697510,54.260128,23.336555,,,
445,786.335999,53.014412,23.158373,,,
446,787.391602,51.667793,22.886744,,,
447,787.994202,50.068752,23.122551,,,
448,788.774414,48.725056,23.510628,,,
449,789.450256,47.180809,23.459536,,,
450,789.955566,45.293137,23.521694,,,
451,790.356934,43.818672,23.370865,,,
452,791.033081,42.515442,23.483351,,,
453,791.515564,40.825027,23.591673,,,
454,792.169922,39.639072,23.352690,,,
455,792.872009,38.197094,23.268164,,,
456,793.388062,36.414494,23.338619,,,
457,793.868103,34.952038,23.047153,,,
458,794.421021,33.254204,23.440807,,,
459,794.649597,31.573664,23.653780,,,
460,794.791016,30.410749,23.664083,,,
461,795.534424,29.025274,23.384411,,,
462,796.234619,27.381132,23.304789,,,
463,796.806335,26.016676,23.096304,,,
464,797.151611,24.550024,22.874178,,,
465,797.500488,22.969620,23.167728,,,
466,797.957092,21.667412,23.183695,,,
467,798.278259,20.277153,23.111458,,,
468,798.515869,18.712540,23.128557,,,
469,798.936584,17.418694,22.948820,,,
470,799.534180,16.102037,22.839182,,,
471,799.801208,14.423767,22.781279,,,
472,800.075867,13.275721,23.138037,,,
473,800.517151,12.140526,23.237936,,,
474,800.785156,10.365334,23.371164,,,
475,801.089600,9.003745,23.252768,,,
476,801.402832,7.903230,23.105164,,,
477,801.487915,6.478300,23.007673,,,
478,801.719238,5.088089,23.191586,,,
479,801.859741,4.105937,23.297585,,,
480,801.998291,2.916394,23.261185,,,
481,802.284668,1.370922,23.398415,,,
482,802.469727,0.008689,23.425638,,,
483,802.736023,-0.910451,23.215290,,,
484,802.980652,-2.197957,23.126646,,,
485,803.073059,-3.386852,23.128876,,,
486,803.130493,-4.381820,23.285521,,,
487,803.432373,-5.443046,23.271730,,,
488,803.691345,-6.942643,23.660009,,,
489,803.839233,-7.887506,23.213507,,,
490,803.994019,-8.866524,23.005148,,,
491,804.016907,-9.976174,22.691133,,,
492,804.022278,-11.081974,22.752800,,,
493,804.140625,-12.058272,22.774597,,,
494,804.253784,-12.974019,22.661783,,,
495,804.484375,-13.871419,22.679657,,,
496,804.568970,-14.913647,22.703579,,,
497,804.707092,-15.944624,22.707535,,,
498,804.774353,-16.812752,22.645536,,,
499,804.914917,-17.622976,22.558565,,,
500,805.090088,-18.662617,22.289795,,,
501,805.330383,-19.677448,22.391542,,,
502,,,,,,
503,,,,805.494568,-21.212297,22.498377
504,,,,805.345703,-21.716169,22.684191
505,,,,805.660034,-22.542759,22.570145
506,,,,805.794678,-23.485647,22.560112
507,,,,805.912048,-24.284142,22.697659
508,,,,805.999817,-24.913214,22.800386
509,,,,806.450745,-25.596840,23.291687
510,,,,806.333374,-26.017511,22.796478
511,,,,806.332581,-26.457741,22.486179
512,,,,806.441345,-26.968355,22.351368
513,,,,806.553894,-27.614632,22.353802
514,,,,806.563171,-28.119349,22.420992
515,,,,806.602844,-28.525511,22.465040
516,,,,806.747559,-28.821758,22.544641
517,,,,806.703979,-29.057756,22.586561
518,,,,806.635986,-29.256182,22.667276
519,,,,806.651123,-29.406012,22.630377
520,,,,806.625366,-29.521645,22.651379
521,,,,806.643433,-29.724312,22.527378
522,,,,806.631104,-29.872206,22.515600
523,,,,806.563538,-29.968166,22.490032
524,,,,806.487366,-30.083719,22.615299
525,,,,806.415344,-30.050432,22.652006
526,,,,806.439148,-30.180586,22.673737
527,,,,806.433899,-30.237263,22.688250
528,,,,806.419922,-30.205040,22.600445
529,,,,806.452515,-30.247501,22.592831
530,,,,806.439697,-30.234064,22.669655
531,,,,806.454224,-30.211031,22.682266
532,,,,806.417542,-30.176445,22.624125
533,,,,806.396240,-30.154591,22.625803
534,,,,806.455322,-30.112415,22.635817
535,,,,806.457703,-30.063450,22.570757
536,,,,806.468506,-30.055061,22.658709
537,,,,806.544739,-30.098549,22.624435
538,,,,806.547485,-29.998039,22.586334
539,,,,806.603882,-29.950550,22.570160
540,,,,806.625671,-29.870243,22.539698
541,,,,806.652222,-29.871151,22.481102
542,,,,806.681274,-29.827089,22.510416
543,,,,806.677734,-29.848463,22.492407
544,,,,806.747742,-29.792879,22.419731
545,,,,806.828979,-29.740213,22.506773
546,,,,806.849976,-29.786194,22.469379
547,,,,806.888672,-29.706903,22.403099
548,,,,806.947815,-29.686792,22.370375
549,,,,806.986694,-29.682350,22.354416
550,,,,806.989563,-29.684406,22.353994
551,,,,806.992676,-29.599827,22.329546
552,,,,806.943848,-29.470749,22.494781
553,,,,806.959290,-29.551996,22.381365
554,,,,807.001770,-29.563883,22.337152
555,,,,807.051086,-29.560823,22.342047
556,,,,807.036560,-29.503895,22.441507
557,,,,807.047546,-29.548628,22.366257
558,,,,807.097473,-29.491110,22.264244
559,,,,807.094360,-29.563007,22.263399
560,,,,807.148254,-29.528204,22.308455
561,,,,807.155945,-29.480896,22.356258
562,,,,807.147522,-29.472137,22.365089
563,,,,807.146423,-29.506723,22.324093
564,,,,807.151733,-29.485254,22.347075
565,,,,807.105469,-29.443272,22.311060
566,,,,807.085327,-29.472090,22.256830
567,,,,807.142273,-29.476860,22.336216
568,,,,807.135498,-29.462704,22.404482
569,,,,807.141174,-29.505125,22.340794
570,,,,807.134460,-29.469069,22.384287
571,,,,807.141907,-29.471285,22.370024
572,,,,807.148193,-29.476763,22.358084
573,,,,807.149414,-29.478008,22.356449
574,,,,807.175903,-29.497105,22.306980
575,,,,807.187439,-29.502878,22.289272
576,,,,807.167419,-29.474051,22.344456
577,,,,807.145752,-29.473240,22.364979
578,,,,807.137329,-29.418949,22.437925
579,,,,807.101990,-29.348574,22.557634
580,,,,807.128906,-29.441793,22.414719
581,,,,807.171692,-29.377054,22.508959
582,,,,807.144958,-29.489662,22.358564
583,,,,807.152039,-29.492163,22.336353
584,,,,807.152161,-29.511131,22.313683
585,,,,807.152100,-29.483986,22.348038
586,,,,807.147766,-29.506235,22.325010
587,,,,807.132751,-29.466591,22.388252
588,,,,807.220154,-29.496902,22.310387
589,,,,807.237976,-29.486420,22.320961
590,,,,807.222412,-29.403021,22.310783
591,,,,807.234863,-29.483437,22.281406
592,,,,807.255310,-29.400795,22.284389
593,,,,807.252808,-29.400089,22.248680
594,,,,807.252441,-29.378134,22.276560
595,,,,807.231140,-29.377039,22.305363
596,,,,807.224854,-29.347921,22.347828
597,,,,807.222778,-29.340876,22.356098
598,,,,807.224243,-29.342751,22.351988
599,,,,807.252502,-29.363054,22.299768

