Circle61
Date:,2025/04/28
Time:,13:58:41
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
185,716.027893,-129.492859,21.767288,,,,,,,,,,,,,,,
186,714.955444,-129.769409,21.919643,,,,,,,,,,,,,,,
187,713.712891,-129.966507,22.080275,,,,,,,,,,,,,,,
188,712.435608,-129.980026,21.838108,,,,,,,,,,,,,,,
189,711.213562,-130.075531,21.687656,,,,,,,,,,,,,,,
190,710.214661,-130.153229,21.656343,,,,,,,,,,,,,,,
191,709.038330,-130.228271,21.868572,,,,,,,,,,,,,,,
192,707.779236,-130.291382,21.655630,,,,,,,,,,,,,,,
193,706.652222,-130.432877,21.498762,,,,,,,,,,,,,,,
194,705.564880,-130.689438,21.358276,,,,,,,,,,,,,,,
195,704.432373,-130.755402,21.795839,,,,,,,,,,,,,,,
196,703.229858,-130.879318,21.911753,,,,,,,,,,,,,,,
197,702.080505,-131.118210,21.491806,,,,,,,,,,,,,,,
198,701.005554,-131.142059,21.355328,,,,,,,,,,,,,,,
199,699.883423,-131.067368,21.727997,,,,,,,,,,,,,,,
200,698.810608,-131.061035,21.890728,,,,,,,,,,,,,,,
201,697.586853,-131.126358,21.692490,,,,,,,,,,,,,,,
202,696.349854,-131.216400,21.493149,,,,,,,,,,,,,,,
203,695.301819,-131.259033,21.437191,,,,,,,,,,,,,,,
204,694.253967,-131.262421,21.599594,,,,,,,,,,,,,,,
205,693.059143,-131.295731,21.456326,,,,,,,,,,,,,,,
206,691.861145,-131.475647,21.319973,,,,,,,,,,,,,,,
207,690.734131,-131.577087,21.377737,,,,,,,,,,,,,,,
208,689.728149,-131.699310,21.408909,,,,,,,,,,,,,,,
209,688.870972,-131.834167,21.446404,,,,,,,,,,,,,,,
210,687.867554,-131.868118,21.343464,,,,,,,,,,,,,,,
211,686.699463,-131.850433,21.268997,,,,,,,,,,,,,,,
212,685.694702,-131.989731,21.031199,,,,,,,,,,,,,,,
213,684.817749,-131.967255,21.178642,,,,,,,,,,,,,,,
214,684.002014,-132.011047,21.330700,,,,,,,,,,,,,,,
215,682.840881,-131.932251,21.235245,,,,,,,,,,,,,,,
216,681.714172,-131.927002,20.704113,,,,,,,,,,,,,,,
217,680.717834,-132.008652,20.820719,,,,,,,,,,,,,,,
218,679.756531,-132.145187,21.038963,,,,,,,,,,,,,,,
219,678.746948,-132.119934,21.149166,,,,,,,,,,,,,,,
220,677.618347,-132.033554,21.048058,,,,,,,,,,,,,,,
221,676.371216,-131.996674,20.893814,,,,,,,,,,,,,,,
222,675.363953,-132.040482,20.849377,,,,,,,,,,,,,,,
223,674.378052,-131.753723,21.249744,,,,,,,,,,,,,,,
224,673.230591,-131.618851,21.218706,,,,,,,,,,,,,,,
225,672.109741,-131.484573,20.988832,,,,,,,,,,,,,,,
226,671.059326,-131.579666,20.638458,,,,,,,,,,,,,,,
227,669.949402,-131.396164,20.850103,,,,,,,,,,,,,,,
228,668.951904,-131.232819,21.048178,,,,,,,,,,,,,,,
229,667.748413,-131.117935,20.934423,,,,,,,,,,,,,,,
230,666.620789,-130.988541,20.619450,,,,,,,,,,,,,,,
231,665.648438,-130.977493,20.514769,,,,,,,,,,,,,,,
232,664.638489,-130.939789,20.639599,,,,,,,,,,,,,,,
233,663.539734,-130.845856,20.592121,,,,,,,,,,,,,,,
234,662.508484,-130.763718,20.518934,,,,,,,,,,,,,,,
235,661.629761,-130.683838,20.563229,,,,,,,,,,,,,,,
236,660.627502,-130.695526,20.675749,,,,,,,,,,,,,,,
237,659.555420,-130.507370,20.820593,,,,,,,,,,,,,,,
238,658.542358,-130.504501,20.591436,,,,,,,,,,,,,,,
239,657.428650,-130.298752,20.444307,,,,,,,,,,,,,,,
240,656.392883,-130.123367,20.448334,,,,,,,,,,,,,,,
241,655.489380,-130.064041,20.446808,,,,,,,,,,,,,,,
242,654.526550,-130.090393,20.572468,,,,,,,,,,,,,,,
243,653.250916,-129.941940,20.462694,,,,,,,,,,,,,,,
244,652.034119,-129.552475,20.475658,,,,,,,,,,,,,,,
245,651.126160,-129.262924,20.572483,,,,,,,,,,,,,,,
246,650.138977,-129.062378,20.596739,,,,,,,,,,,,,,,
247,648.977539,-128.975388,20.358679,,,,,,,,,,,,,,,
248,647.722961,-128.694809,20.361994,,,,,,,,,,,,,,,
249,646.651245,-128.401535,20.395937,,,,,,,,,,,,,,,
250,645.702637,-128.174973,20.367294,,,,,,,,,,,,,,,
251,644.622009,-127.859024,20.266264,,,,,,,,,,,,,,,
252,643.443909,-127.571953,20.065498,,,,,,,,,,,,,,,
253,642.363708,-127.189003,20.155539,,,,,,,,,,,,,,,
254,641.280884,-126.840752,20.380142,,,,,,,,,,,,,,,
255,640.332153,-126.692276,20.275759,,,,,,,,,,,,,,,
256,639.379089,-126.481636,20.064472,,,,,,,,,,,,,,,
257,638.214966,-125.956444,20.390682,,,,,,,,,,,,,,,
258,637.204651,-125.570175,20.318533,,,,,,,,,,,,,,,
259,636.359436,-125.304390,20.310640,,,,,,,,,,,,,,,
260,635.592163,-125.151009,20.259678,,,,,,,,,,,,,,,
261,634.441772,-124.786850,20.218084,,,,,,,,,,,,,,,
262,633.365173,-124.348404,20.130491,,,,,,,,,,,,,,,
263,632.385681,-123.861458,20.052740,,,,,,,,,,,,,,,
264,631.658447,-123.400230,20.168413,,,,,,,,,,,,,,,
265,630.789246,-122.990654,20.162214,,,,,,,,,,,,,,,
266,629.699768,-122.362625,19.952986,,,,,,,,,,,,,,,
267,628.827332,-121.835548,19.807131,,,,,,,,,,,,,,,
268,627.861206,-121.349243,19.777685,,,,,,,,,,,,,,,
269,627.020813,-120.847046,19.846111,,,,,,,,,,,,,,,
270,626.228333,-120.389549,19.898050,,,,,,,,,,,,,,,
271,625.147705,-119.808632,20.087849,,,,,,,,,,,,,,,
272,624.092957,-119.224327,19.925442,,,,,,,,,,,,,,,
273,623.222290,-118.725014,19.820246,,,,,,,,,,,,,,,
274,622.526672,-118.209770,19.913582,,,,,,,,,,,,,,,
275,621.789368,-117.672501,20.183792,,,,,,,,,,,,,,,
276,620.843140,-117.109604,20.126511,,,,,,,,,,,,,,,
277,619.990173,-116.529442,19.856390,,,,,,,,,,,,,,,
278,619.250793,-115.784836,19.613222,,,,,,,,,,,,,,,
279,618.383545,-115.091309,19.734295,,,,,,,,,,,,,,,
280,617.687744,-114.444794,19.685234,,,,,,,,,,,,,,,
281,616.734375,-113.663025,19.761166,,,,,,,,,,,,,,,
282,615.872437,-112.926918,19.822306,,,,,,,,,,,,,,,
283,614.966919,-111.920319,20.023533,,,,,,,,,,,,,,,
284,614.088318,-111.165726,19.941666,,,,,,,,,,,,,,,
285,613.445557,-110.733284,19.772400,,,,,,,,,,,,,,,
286,612.710693,-109.899376,19.628231,,,,,,,,,,,,,,,
287,611.757874,-108.722107,19.576612,,,,,,,,,,,,,,,
288,610.761414,-107.733009,19.657913,,,,,,,,,,,,,,,
289,609.990906,-107.010101,19.745584,,,,,,,,,,,,,,,
290,609.262878,-106.199982,19.766104,,,,,,,,,,,,,,,
291,608.598267,-105.469269,19.933655,,,,,,,,,,,,,,,
292,607.728088,-104.475327,19.809818,,,,,,,,,,,,,,,
293,606.873047,-103.235580,19.578722,,,,,,,,,,,,,,,
294,606.010864,-102.349785,19.467985,,,,,,,,,,,,,,,
295,605.342346,-101.576683,19.708649,,,,,,,,,,,,,,,
296,604.722046,-100.693039,19.981224,,,,,,,,,,,,,,,
297,603.870422,-99.732025,19.853415,,,,,,,,,,,,,,,
298,603.115356,-98.617294,19.596479,,,,,,,,,,,,,,,
299,602.358948,-97.621986,19.516436,,,,,,,,,,,,,,,
300,601.518921,-96.615173,19.414127,,,,,,,,,,,,,,,
301,600.861450,-95.889275,19.463821,,,,,,,,,,,,,,,
302,600.343079,-94.979950,19.807699,,,,,,,,,,,,,,,
303,599.476440,-93.895271,19.435369,,,,,,,,,,,,,,,
304,598.815186,-92.584785,19.614080,,,,,,,,,,,,,,,
305,598.048523,-91.738602,19.570364,,,,,,,,,,,,,,,
306,597.452698,-90.999054,19.568062,,,,,,,,,,,,,,,
307,596.652466,-90.121414,19.830265,,,,,,,,,,,,,,,
308,596.216309,-89.021355,19.643536,,,,,,,,,,,,,,,
309,595.736450,-87.825241,19.379448,,,,,,,,,,,,,,,
310,594.977173,-86.908981,19.597305,,,,,,,,,,,,,,,
311,594.230164,-86.034309,19.637487,,,,,,,,,,,,,,,
312,593.484619,-85.104103,19.557722,,,,,,,,,,,,,,,
313,593.061096,-83.922989,19.628223,,,,,,,,,,,,,,,
314,592.583313,-82.882362,19.428602,,,,,,,,,,,,,,,
315,592.116821,-81.895500,19.579161,,,,,,,,,,,,,,,
316,591.483337,-81.153328,19.566048,,,,,,,,,,,,,,,
317,590.865662,-80.039536,19.536221,,,,,,,,,,,,,,,
318,590.133362,-78.713242,19.520525,,,,,,,,,,,,,,,
319,589.423157,-77.619064,19.393364,,,,,,,,,,,,,,,
320,588.899536,-76.810783,19.483044,,,,,,,,,,,,,,,
321,588.418762,-76.012131,19.690413,,,,,,,,,,,,,,,
322,587.819214,-74.837006,19.718531,,,,,,,,,,,,,,,
323,587.333313,-73.521286,19.432728,,,,,,,,,,,,,,,
324,586.902161,-72.691856,19.305815,,,,,,,,,,,,,,,
325,586.306091,-71.798454,19.509462,,,,,,,,,,,,,,,
326,585.748840,-70.775673,19.507492,,,,,,,,,,,,,,,
327,585.304871,-69.524963,19.396923,,,,,,,,,,,,,,,
328,584.968994,-68.404724,19.439327,,,,,,,,,,,,,,,
329,584.562134,-67.539581,19.632475,,,,,,,,,,,,,,,
330,583.969727,-66.737915,19.434702,,,,,,,,,,,,,,,
331,583.580078,-65.662605,19.087242,,,,,,,,,,,,,,,
332,583.411865,-64.612228,18.593378,,,,,,,,,,,,,,,
333,582.815552,-63.626778,18.460255,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,
335,,,,581.216431,-61.233822,18.968739,,,,,,,,,,,,
336,,,,580.707703,-59.791252,18.838203,,,,,,,,,,,,
337,,,,580.404968,-58.682381,18.963390,,,,,,,,,,,,
338,,,,579.798096,-57.961880,19.352198,,,,,,,,,,,,
339,,,,579.684692,-56.850403,19.204071,,,,,,,,,,,,
340,,,,579.409485,-55.377766,19.051600,,,,,,,,,,,,
341,,,,578.988220,-54.255611,19.132666,,,,,,,,,,,,
342,,,,578.382629,-53.372150,19.291361,,,,,,,,,,,,
343,,,,577.906921,-52.142998,19.144150,,,,,,,,,,,,
344,,,,577.515686,-50.691513,19.001709,,,,,,,,,,,,
345,,,,576.987244,-49.683704,18.976255,,,,,,,,,,,,
346,,,,576.725403,-49.080124,18.852785,,,,,,,,,,,,
347,,,,576.697571,-48.193771,18.602066,,,,,,,,,,,,
348,,,,576.617004,-46.872116,18.526430,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,
350,,,,,,,575.477112,-44.760071,19.270512,,,,,,,,,
351,,,,,,,575.189331,-43.408169,19.166739,,,,,,,,,
352,,,,,,,574.909241,-42.210255,19.096249,,,,,,,,,
353,,,,,,,574.692017,-41.208878,18.934734,,,,,,,,,
354,,,,,,,574.337036,-40.408947,18.983673,,,,,,,,,
355,,,,,,,574.230713,-39.277473,18.694241,,,,,,,,,
356,,,,,,,573.985657,-37.808285,18.817432,,,,,,,,,
357,,,,,,,573.593750,-36.676250,18.972080,,,,,,,,,
358,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,573.322876,-33.626049,19.313328,,,,,,
361,,,,,,,,,,573.196106,-32.767109,19.615976,,,,,,
362,,,,,,,,,,573.022217,-31.758938,19.760868,,,,,,
363,,,,,,,,,,572.686035,-30.309036,19.387041,,,,,,
364,,,,,,,,,,572.513306,-28.893356,19.299402,,,,,,
365,,,,,,,,,,572.215515,-27.967875,19.508755,,,,,,
366,,,,,,,,,,571.995667,-26.840849,19.366833,,,,,,
