Zigzag10
Date:,2025/04/15
Time:,13:06:19
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1
Field #,X,Y,Z
239,874.298218,189.474594,29.116850
240,874.024231,190.552948,29.262270
241,873.650330,191.412796,29.261438
242,873.242310,192.019119,29.327181
243,872.544556,192.887375,29.359661
244,871.734497,194.084290,29.390194
245,871.293762,195.258087,29.165144
246,870.786865,196.119904,28.995304
247,870.111328,196.884827,29.071377
248,869.548035,197.920166,29.022537
249,869.213013,199.356735,29.134960
250,868.659912,200.446625,29.375805
251,867.835571,201.308426,29.302992
252,867.087280,202.561417,29.289454
253,866.629700,203.997253,29.110041
254,866.143921,205.094986,28.985308
255,865.411743,206.134415,29.268236
256,864.912415,207.434906,29.307001
257,864.363831,208.877396,29.253155
258,863.690796,209.873215,29.307264
259,862.927551,210.861908,29.192907
260,862.372925,212.397598,28.992558
261,861.969788,213.795883,28.877155
262,861.335022,214.827545,29.051517
263,860.757202,216.112793,29.274151
264,860.294617,217.511871,29.210428
265,859.557312,218.622009,29.262318
266,858.599731,219.774734,29.362503
267,857.897034,221.349915,28.995655
268,857.329468,222.926529,28.851639
269,856.604187,224.000610,28.986061
270,855.904724,225.355240,29.136894
271,855.228149,226.858917,29.058470
272,854.204041,228.054352,29.093838
273,853.266968,229.551743,29.077658
274,852.550964,231.111755,29.035139
275,851.832886,232.392441,29.571045
276,850.961426,233.442551,29.559958
277,850.158508,235.018829,29.362984
278,849.266907,236.388947,29.280504
279,848.353271,237.575409,29.379265
280,847.618530,239.291351,29.092325
281,846.832397,240.868271,29.106712
282,845.860779,241.942154,29.353466
283,845.036804,243.312866,29.007336
284,844.212769,244.883148,28.661297
285,843.282288,246.035248,28.727224
286,842.568176,247.330750,29.075298
287,841.701599,248.899963,29.189692
288,840.791870,250.160065,29.031874
289,839.941650,251.234741,29.007414
290,839.204468,252.750275,28.559864
291,838.514771,254.126434,28.584034
292,837.882935,255.036469,29.007666
293,836.921082,256.338043,29.142212
294,836.107239,257.904510,29.012367
295,835.482422,259.085785,28.788298
296,834.619446,260.023773,29.047197
297,833.811340,261.427185,29.139776
298,833.418945,262.685944,29.174416
299,832.974976,263.417542,29.186111
300,832.053284,264.627899,29.055212
301,831.194641,266.074707,29.236601
302,830.552795,267.265717,29.213606
303,829.888123,268.118622,29.351036
304,829.141541,269.351532,29.194771
305,828.643799,270.791351,29.002613
306,828.147705,271.963196,28.904104
307,827.395081,272.821838,28.976978
308,826.619019,273.813965,28.797424
309,826.049866,275.046936,28.374746
310,825.563660,276.201172,28.338734
311,824.923462,277.130951,28.622908
312,824.279724,277.968109,28.877674
313,823.636780,279.338470,28.857422
314,823.154480,280.513092,28.750978
315,822.453430,281.464264,28.718136
316,821.537415,282.420135,28.843266
317,820.935852,283.622131,28.723616
318,820.695862,284.851105,28.617062
319,820.049377,285.884521,28.940527
320,818.871826,286.783051,29.038342
321,818.225586,288.017242,28.658388
322,817.825439,289.275848,28.522476
323,817.019714,290.257904,28.607283
324,816.362122,291.184906,28.918413
325,815.833984,292.585358,29.066591
326,815.116760,293.891083,28.958384
327,814.301514,294.829498,29.017559
328,813.496826,295.916077,29.036930
329,812.935608,297.249298,29.004910
330,812.210449,298.454254,29.281261
